Sentence,Unigram_Add-One,Unigram_Add-K,Unigram_Token-Type,Bigram_Add-One,Bigram_Add-K,Bigram_Token-Type,Trigram_Add-One,Trigram_Add-K,Trigram_Token-Type,Quadrigram_Add-One,Quadrigram_Add-K,Quadrigram_Token-Type
<s> इसके लिए ईडी-सीबीआई से फंसवा देने की कायर्तापूर्ण धमकी मत दीजिएगा. </s>,-152.4922177988555,-152.54403601654212,-211.86477737324867,-273.04544439606354,-273.0359916082135,-289.30416137170994,-282.948264791449,-282.44452835807067,-292.4329055805751,-276.3102111592855,-276.3102111592855,-276.3102111592855
"<s> "" सुधांशु कहते हैं, ""मौजूदा माहौल ने हमें राजनीतिक रूप से जागरूक कर दिया है. </s>",-181.15445636432764,-181.111589379611,-266.4043580030994,-325.05290439231527,-325.03830549247556,-343.71864269971474,-397.3861866091456,-396.8769016777281,-402.95828666263924,-386.83429562299966,-386.83429562299966,-386.83429562299966
<s> 2015 में खुद को ‘इंपैक्ट टीम’ कहने वाले एक ग्रुप ने एशले मैडिसन के सिस्टम में घुसकर उसके सर्वर से लगभग सभी जानकारी निकाल ली. </s>,-251.353973064234,-251.34465757338882,-382.623669681206,-483.2415485124805,-483.21266247396414,-507.8841352944767,-655.4604951674195,-654.4407972505834,-667.7614202299759,-663.1445067822851,-663.1445067822851,-663.1445067822851
<s> इसका स्क्रीनप्ले संजय लीला भंसाली ने तैयार किया है और उन्होंने ही इसका निर्देशन भी किया है. </s>,-154.76154825969004,-154.71177850964787,-263.2043345593845,-280.75444635864653,-280.726233306976,-314.70768364595705,-364.6742299469345,-361.63177585517246,-400.68489582411974,-398.99659617169607,-397.48806133693563,-411.16444032246324
"<s> हानिया का एक और वीडियो भी सोशल मीडिया पर वायरल हो गया है, जिसमें वह निर्देशक वजाहत रऊफ़ के बेटों आशिर वजाहत और नायल वजाहत के साथ गायक हसन रहीम का गाना 'तेरी आरज़ू' गा रही हैं जिसमें वो उन्हें गले लगाती हैं. </s>",-498.31324665504326,-498.29741494943363,-694.9285791167839,-866.9264023312509,-866.8908814954666,-920.659642078733,-1013.8326956232888,-1008.7622056774948,-1073.0621553443475,-1065.7748690625426,-1062.7321794717423,-1098.6390111806031
"<s> "" मनु भाकर ने कहा था, ""लाइफ़टाइम अचीवमेंट अवार्ड के लिए आपको बहुत लंबे समय तक अच्छा करना होता है, बहुत हासिल करना होता है. </s>",-282.69500407729686,-282.6303327389518,-414.8467270587176,-486.7424077125029,-486.72114193677044,-521.2884448840992,-620.700407319643,-618.6973174246217,-644.7470875413105,-648.9020532264476,-648.3991034020285,-652.8338747422747
<s> भर्तृहरि महताब लगातार सातवीं बार सांसद के तौर पर काम कर रहे हैं. </s>,-132.9603912197958,-132.9305313175947,-210.6268714033926,-248.9990037290633,-248.98092790663105,-274.4386382961102,-282.2091703591718,-280.1706553416749,-313.1736132937161,-269.90134484525885,-267.87787907218296,-290.32969731454466
<s> सिटीज़न कंज़्यूमर सिविक एक्शन ग्रुप की एस सरोजा कहती हैं कि एफ़एसएसएआई जिन भी ब्रैंड्स की लैब में जांच करती है उसके नतीजे सार्वजनिक करने चाहिए. </s>,-275.20743874975267,-275.33479861393346,-396.9746588226768,-570.6961933299186,-570.6778429256648,-591.6043936629278,-652.5775072917387,-650.5529398476049,-672.3783954122486,-690.7755278982137,-690.7755278982137,-690.7755278982137
<s> ऑटोमैटिक बंदूकों से हो रहे जवाबी हमलों की आवाज भी सुनी जा सकती है - ऐसा लग रहा है कि जितना अनुमान था उसके हिसाब से सेना काफी करीब हैं. </s>,-251.9677866889915,-251.8750349059929,-435.4903661864814,-500.391260598961,-500.3607086613745,-547.3090969488115,-671.5199531633016,-666.9854666281267,-725.3652788013402,-768.050067700481,-767.03003269779,-780.6783157677543
<s> एसजेवीएनएल ड्रिलिंग का और पाइप लाइन का काम देख रही है. </s>,-117.99778956370167,-117.98226680405696,-183.9401959222845,-222.59783560720473,-222.592532107621,-233.3163768528129,-257.61852031686306,-256.11090424507336,-269.42020517064014,-276.3102111592855,-276.3102111592855,-276.3102111592855
"<s> वीडियो: सुप्रिया सोगले और शाहनवाज़ अहमद (बीबीसी हिन्दी के एंड्रॉएड ऐप के लिए आप 
यहां क्लिक
 कर सकते हैं. </s>",-230.22318893311046,-230.20823627710408,-318.2855839646078,-419.2793895700155,-419.2611310231521,-439.8510870089437,-474.89036654762134,-473.40101154476486,-490.46822112338947,-497.35838008671385,-497.35838008671385,-497.35838008671385
<s> हर तरफ़ लाल फीते लगे हैं. </s>,-85.06832917336871,-85.0574366754641,-118.80942010677067,-175.20867266148042,-175.2055508058691,-179.3739524621396,-165.78612669557128,-165.78612669557128,-165.78612669557128,-138.15510557964274,-138.15510557964274,-138.15510557964274
"<s> कर्नल भाटिया बताते हैं, “मैंने परतापुर स्थित 102 ब्रिगेड हेडक्वार्टर से अपना रेडियो कनेक्शन स्विच ऑफ़ कर दिया ताकि उनकी तरफ़ कोई हस्तक्षेप न किया जा सके. </s>",-310.6704861898421,-310.5960630333385,-429.6435074590232,-645.7669924201728,-645.7596354390059,-661.2686703925398,-746.0375701300708,-746.0375701300708,-746.0375701300708,-718.4065490141422,-718.4065490141422,-718.4065490141422
"<s> इसके बाद कंपनी ने एक 
बयान जारी कर
 कहा है कि टिकटॉक और बाइटडांस के जनरल काउंसेल एरिक एंडरसन जून में अपना पद छोड़ देंगे और कंपनी के स्पेशल काउंसिल की भूमिका में चले जाएंगे. </s>",-305.7910624874106,-305.6938288803533,-512.9502745322269,-573.3337772039818,-573.2760437825939,-643.3365026591217,-750.8650950564826,-744.7699958584382,-828.9959431509275,-830.9313175553498,-827.3764603829698,-867.2802594042704
<s> जवाब में उन्होंने कहा कि 'साक्षी मलिक के इस फ़ैसले से मुझे क्या लेना-देना? </s>,-142.23576682501454,-142.19285044551356,-235.72537187450897,-244.39875154275106,-244.37841423548855,-273.8218754539962,-311.0779738306953,-309.04207533066676,-340.80199242511935,-326.67574015447474,-325.6566985587744,-338.5819847943534
<s> जब मैं सेठ जी से उनके मुंबई के प्रभादेवी स्थित कार्यालय में मिलने पहुँचा तो माधुरी उनके सामने बैठी थीं. </s>,-189.26896648645467,-189.2257204561193,-304.1476668832182,-430.04037347228234,-430.01554222803617,-453.9102246267644,-518.6755508278936,-517.659254114522,-529.6063584883594,-524.9894012026424,-524.9894012026424,-524.9894012026424
<s> बांग्लादेश में अल्पसंख्यकों में साल 1992 में उस वक्त भी हमले हुए थे जब भारत के अयोध्या में बाबरी मस्जिद विध्वंस हुआ. </s>,-192.8284982983037,-192.75857467802942,-327.527972606016,-328.1760474180605,-328.15096729764804,-354.80372785659284,-480.915889382197,-476.8758046252362,-515.8263620177918,-566.6449769625638,-566.1490776100549,-569.9408121156973
"<s> "" उन्होंने कहा कि संघर्ष विराम के दौरान ""हर दिन ग़ज़ा में सहायता सामग्री के 600 ट्रक भेजे जाएंगे. </s>",-194.62809315704538,-194.583635956288,-303.31197497430924,-372.59770366981166,-372.58685702319656,-397.8937663616923,-487.50854997467997,-486.4994497320993,-501.9713155131454,-497.35838008671385,-497.35838008671385,-497.35838008671385
<s> इसके पक्ष और विपक्ष में कई लोग थे. </s>,-80.71916771216485,-80.69073589628778,-143.37490092153675,-133.24963639833692,-133.2359524148131,-150.30146493344168,-171.7457907472911,-170.22456680618512,-186.52710752700108,-179.739225320512,-179.24229139322586,-183.106516432597
<s> मणिपुर पुलिस ने बयान जारी कर बताया कि भारतीय सेना ने पेट्रोलिंग के दौरान दो गाड़ियों की पहचान की. </s>,-162.03158216810635,-161.96966444185114,-288.92961183052665,-298.73050492472174,-298.6962294287015,-341.8277651850314,-388.904600347377,-384.8458831026258,-432.93313504774574,-439.74882246307345,-437.7378609449307,-456.11584895169653
<s> राजन बताते हैं कि सिवान में रहते हुए रोज़ सौ रुपए कमाना भी मुश्किल था. </s>,-150.79861294549423,-150.75134517601177,-237.50981092701724,-312.3817130228165,-312.36973359081077,-329.77152268237586,-376.87019682453735,-375.8500263262223,-391.45083657099656,-386.83429562299966,-386.83429562299966,-386.83429562299966
<s> 25 अप्रैल- विनेश फोगाट समेत 6 अन्य महिला पहलवानों ने बृजभूषण शरण सिंह के ख़िलाफ़ एफ़आईआर की मांग को लेकर सुप्रीम कोर्ट में याचिका लगाई. </s>,-258.0635777149443,-258.00322433833713,-384.2873996213321,-474.8060752322846,-474.78391520603276,-507.74428069795397,-581.8761594205905,-578.8250454340085,-621.7327037542461,-599.4713069123945,-597.4383308299748,-621.901901154884
<s> अप्रैल 2019 में फ्रांस के एक चर्चित अखबार ला मोंद की रिपोर्ट में कहा गया था कि फ़रवरी से अक्टूबर 2015 के बीच फ्रांस सरकार ने अनिल अंबानी की एक कंपनी को लगभग 1100 करोड़ रुपये की टैक्स छूट दी. </s>,-337.70837204746056,-337.58471125055246,-578.6937708326128,-635.0091673652172,-634.9575081382905,-711.4989873536914,-879.7177972872988,-873.1289027338977,-955.648260796841,-997.8810320333877,-995.3452578136133,-1026.056591652069
<s> विश्व कप के लिए भारत आने वाली किसी भी टीम को बीफ़ यानी बड़े जानवर के मांस का कोई भी आइटम नहीं परोसा जा रहा है. </s>,-222.5145654979087,-222.46553729222816,-382.2610638199166,-443.71408943870836,-443.68138332911684,-492.8068571305817,-564.7359997981983,-560.1961236820217,-614.84309116069,-646.9353773415917,-645.4238183555616,-659.8436273006955
<s> ’      उन्होंने कहा कि वे फलस्तीन के समर्थक हैं. </s>,-113.68623315165812,-113.66403663863534,-170.75001091285293,-200.58527050072814,-200.57333483930995,-219.88264455786228,-207.39850827746062,-206.39294463263826,-225.66089641335324,-204.95187399646898,-204.44309726809533,-210.7375286236474
<s> टीवी इंडस्ट्री के बड़े सितारों में से एक करण कुंद्रा बिग बॉस-15 के बाद लगातार सुर्ख़ियों में रहते हैं. </s>,-193.92753112174984,-193.8848684417208,-301.50950722900535,-357.04250585029246,-357.0271671703129,-383.9565524790569,-457.48141063778075,-455.47430438265826,-478.9604218454067,-483.64655333952305,-483.14915151739785,-487.0477486777606
"<s> 5 लाख रुपये, भारत की जीडीपी की प्रति व्यक्ति आय (2. </s>",-128.6674791689449,-128.6330413543559,-198.06690606304622,-206.2940232484207,-206.28044968202659,-219.2873538133335,-240.64183024929886,-238.6230652068502,-257.91318334510197,-262.1494351837076,-261.64715806293407,-265.99957923947636
"<s> कोई भी अगर इससे हटकर कोई बात करता है तो वो कनाडा के लोगों के समावेशी, दया और प्यार के मूल्यों को को नहीं मानता. </s>",-216.56460474315077,-216.48706543495845,-379.72359841351545,-419.82802707915636,-419.789070931525,-465.6408544904157,-599.4493153533487,-596.9042320428467,-633.2399245579536,-649.5016786161302,-649.0052463174654,-652.8338754334328
"<s> आप समझिए कि 'सूरज बुत गया, हम सुत (सो) गए' वाला हाल है यहां. </s>",-226.778551076785,-226.77522873839527,-281.53086385125516,-366.71473153350894,-366.7130397561994,-372.34940872690186,-386.83429562299966,-386.83429562299966,-386.83429562299966,-359.2032745070711,-359.2032745070711,-359.2032745070711
<s> कंप्यूटर भी चला लेते हैं. </s>,-66.42956086293222,-66.4106898835908,-104.70340920364328,-136.49634379877926,-136.49347738591808,-137.71948720892294,-138.15510557964274,-138.15510557964274,-138.15510557964274,-110.52408446371419,-110.52408446371419,-110.52408446371419
"<s> वरिष्ठ पत्रकार और राजनीतिक विश्लेषक शिखा मुखर्जी कहती हैं, ""भाजपा की अगुवाई वाली केंद्र सरकार ने लगभग हर घोटाले में अभिषेक की भागीदारी का प्रचार किया है. </s>",-279.9548994488816,-279.8750815370714,-424.9914066056016,-477.31476088778504,-477.2819675214927,-506.97539166401657,-645.5139894083094,-642.4748100213114,-676.9951664425395,-705.0514097718549,-704.5598246651978,-708.0959178756426
<s> एसपी बालासुब्रमण्यम हरफ़नमौला कलाकार भी थे - वो कमाल के डबिंग आर्टिस्ट थे. </s>,-148.6716008228838,-148.72127131608838,-211.05808082423678,-296.80940659622274,-296.80541728093664,-302.62944872058733,-359.2032745070711,-359.2032745070711,-359.2032745070711,-331.57225339114257,-331.57225339114257,-331.57225339114257
<s> पिछले नेशनल गेम्स से उन्होंने मैदान पर वापसी की. </s>,-95.69578655823398,-95.66453800230889,-157.58691923464184,-209.11908525497356,-209.10816663667615,-220.1548231331154,-233.0135761683577,-232.5092022759194,-237.17217974928448,-221.04816892742838,-221.04816892742838,-221.04816892742838
<s> रवीन्द्र जडेजा भी भारतीय टीम का हिस्सा थे. </s>,-90.64321465951619,-90.61652558502722,-144.48159996189614,-180.10011664890243,-180.08833870385126,-192.5284316132016,-170.1865904305209,-168.66232154071187,-186.52706468279302,-179.09919421570095,-178.59567464564378,-183.1065156512883
"<s> उन्होंने यह भी घोषणा की थी कि वह भाजपा में शामिल होंगे, लेकिन शायद गिरीश महाजन और देवेंद्र फडणवीस के बीच आंतरिक संघर्ष के कारण वह चुनाव से पहले शामिल नहीं हुए. </s>",-272.11110156788226,-272.0114894973347,-474.835084998062,-517.6343622354982,-517.5836463585129,-588.6234679336055,-672.6470527991,-666.5583160366388,-746.1076900602486,-780.202515605203,-777.6772889632479,-805.0084510317048
<s> बीते चार हफ़्तों में कठुआ चरमपंथियों को लेकर दूसरी बार चर्चा में है. </s>,-132.00416389442265,-131.97074713994533,-209.71436907904797,-287.13978037089703,-287.1313338770987,-302.52954827025604,-343.5535734534655,-343.04940897431845,-347.696264312424,-331.57225339114257,-331.57225339114257,-331.57225339114257
<s> इस तरह वो येलो बर्ड इस्केप लाइन लाइन की सदस्य बन गईं. </s>,-144.0133097251602,-143.97704210490602,-212.5323013261379,-261.44993126435816,-261.4451294232068,-274.77313856169707,-311.5648978395717,-311.06625943975166,-320.0647517416131,-303.941232275214,-303.941232275214,-303.941232275214
<s> बीते साल यूट्यूब पर जारी हुए कई भोजपुरी गानों में बॉलीवुड अभिनेत्री रिया चक्रवर्ती को 'वेश्या' कहा गया. </s>,-188.78563561747583,-188.72988295438685,-291.84204242130403,-339.815146695239,-339.7944695516637,-356.57974150592776,-448.3654572521137,-446.84544588958227,-462.83732047559556,-469.7273589707853,-469.7273589707853,-469.7273589707853
<s> जम्मू और कश्मीर के उपराज्यपाल मनोज सिन्हा जी अपने बेटे को चुनाव लड़ाना चाहते थे लेकिन बात नहीं बनी तो अपने क़रीबी पारसनाथ राय को चुनाव लड़ा रहे हैं. </s>,-261.1054897114727,-261.03917263451535,-424.66018572329114,-497.3093065537145,-497.2665704683364,-534.2022375595716,-637.4471867460327,-632.3788207069814,-686.2294046453673,-687.7767860125691,-684.7636279193796,-711.8047966319645
"<s> मीडिया रिपोर्ट्स के अनुसार, इस इवेंट में ट्रूडो को यह कहते हुए सुना गया कि कनाडाई सरकार अपने देश में सिख समुदाय के धर्म के अधिकार का बिना ""भेदभाव"" के समर्थन करेगी. </s>",-295.8454079683178,-295.7517950857436,-486.21771830565655,-542.4884136898635,-542.4391537530685,-588.9827834712313,-730.2861740292772,-725.7098948945442,-780.6292690411965,-810.3747678216,-808.8558956395686,-825.6297340430857
"<s> कांग्रेस नेता जयराम रमेश ने बुधवार को प्रेस कॉन्फ़्रेंस में कहा कि अब जब आँकड़े जारी कर दिए गए हैं, उन्हें उम्मीद है कि चुनाव के बचे हुए चरणों में ऐसा नहीं होगा. </s>",-287.0468495206623,-286.9598275508671,-488.26509789177817,-525.0732208070456,-525.0103680123284,-602.0420778256508,-663.2730477015559,-656.183700119876,-750.723730582534,-797.8150832596789,-794.8085662110075,-822.328875836904
<s> साल 2021 से उन्होंने सिर्फ़ 4 फर्स्ट क्लास क्रिकेट मैच खेले हैं. </s>,-127.36597976678934,-127.32573590651424,-198.99989052980473,-234.7166200135477,-234.70346524389612,-246.9280248242731,-299.9447199205507,-298.9347204695942,-308.5582300195423,-303.941232275214,-303.941232275214,-303.941232275214
<s> 'तेज़ाब' के साथ उसी बरस उनकी एक और फिल्म 'दयावान' ने भी धूम मचा दी. </s>,-174.44320671507808,-174.399823441064,-264.3582393270901,-323.6013608494796,-323.58848597731264,-343.5949567381918,-367.70510639157527,-366.20816789055027,-379.94428595819113,-386.83429562299966,-386.83429562299966,-386.83429562299966
<s> ग़ज़ा में मानवीय कदमों के लिए संघर्ष विराम को लेकर यूएन में प्रस्ताव को लाने का काम भी जॉर्डन ने ही किया था. </s>,-199.0997101669245,-199.04213514905757,-339.3107805545679,-416.72217397462623,-416.6937512647406,-452.0534364222139,-551.305599737019,-548.7968902218398,-577.9783058673127,-607.882464550428,-607.882464550428,-607.882464550428
<s> नवंबर 2004 में गंभीर ने अपने दूसरे टेस्ट में ही दक्षिण अफ़्रीका के ख़िलाफ़ 91 रनों की शानदार पारी खेलकर बता दिया था कि वो लंबी रेस के लिए बने हुए हैं. </s>,-270.6530038812802,-270.55435561088154,-461.03527607326777,-530.8173455067986,-530.7668941246851,-588.4351281211519,-748.6346597853116,-744.6028175624986,-792.1363417701353,-813.1102670394648,-811.596910801624,-825.62975706139
<s> राज्य सरकार हर संभव सहायता प्रदान करने के लिए प्रतिबद्ध है. </s>,-108.32475669661252,-108.28721343214129,-184.0500478246745,-158.54202492119492,-158.5174905755527,-190.63161277125943,-178.01448808534636,-174.49298363592905,-223.38635694135834,-228.98630614938529,-227.46236028179612,-245.37828580063464
<s> दूसरी गेंद पर छक्का और दूसरी गेंद पर विकेट. </s>,-94.58458277554155,-94.5534659177933,-157.229051935122,-164.48517337939091,-164.47103054035193,-178.0612563794984,-200.02899018731804,-198.50784730033445,-214.1581443491968,-221.04816892742838,-221.04816892742838,-221.04816892742838
<s> 71 का था. </s>,-49.29973263997553,-49.287300520067646,-77.26514815158625,-97.12536382945595,-97.12818135862423,-96.49097415637527,-82.89306334778564,-82.89306334778564,-82.89306334778564,-55.262042231857095,-55.262042231857095,-55.262042231857095
<s> तीसरी बार भारत के प्रधानमंत्री बने नरेंद्र मोदी और उनकी कैबिनेट के सदस्यों के शपथ ग्रहण समारोह में शिरकत करने के लिए मुइज़्ज़ू भारत पहुँचे थे. </s>,-235.40896654941196,-235.3279735190502,-394.43895428514463,-407.43023867491644,-407.37719777392886,-464.7186213033911,-479.0038163944713,-471.90912776666335,-557.3026655197287,-602.6971172369838,-599.6730257985814,-628.911725170616
"<s> निकाह 1982 में बनी बेहद कामयाब फ़िल्म थी जिसमें पाकिस्तानी मूल की सलमा आग़ा, राज बब्बर और दीपक पराशर ने काम किया था. </s>",-244.11051711543462,-244.04478048519985,-358.74368597103347,-497.9030363820645,-497.89310350836257,-508.76623386727744,-618.9959069789677,-618.4877920070625,-624.006466823127,-607.882464550428,-607.882464550428,-607.882464550428
<s> 15. </s>,-33.736709366801094,-33.73036850811135,-50.94452183931885,-55.262042231857095,-55.262042231857095,-55.262042231857095,-27.631021115928547,-27.631021115928547,-27.631021115928547,0.0,0.0,0.0
"<s> ” हिलेरी क्लिंटन ने लोगों से इस ‘ऐतिहासिक लड़ाई’ में
कमला हैरिस के साथ खड़े होने की अपील की है. </s>",-219.81703448746075,-219.80081303752044,-328.53845188607,-351.0559427850859,-351.03863469309385,-383.49392442906355,-419.04027155807654,-415.0024077648014,-460.5639340338947,-496.2984973517325,-495.29295331455717,-504.3681363413141
<s> कहा गया कि वह शादी में प्रतिबद्ध नहीं हैं. </s>,-85.08922825489506,-85.05791508766625,-156.16681124435684,-170.67512620238034,-170.6591076350484,-192.03695306288293,-194.79220396639073,-193.26468875969096,-214.15786265521874,-191.24361408398642,-190.2310439840966,-200.4269013315261
<s> ईरान से क़रीबी के कारण सऊदी अरब से हमास की दूरी बढ़ना लाज़िम था क्योंकि सऊदी अरब और ईरान के बीच दुश्मनी है. </s>,-234.0497432612984,-233.98732874689964,-355.90017218476186,-465.6292082685064,-465.59986582170626,-494.6054037137749,-571.2009068196016,-569.175430940038,-589.4854293798928,-593.4943001450183,-592.9902796525604,-597.571832270015
"<s> घोष कहते हैं, ""एंटीबायोटिक्स के एक कोर्स से ही उसके (एंटीबायोटिक्स के) प्रति प्रतिरोध पैदा होने का ख़तरा होता है और गट माइक्रोबायोम की आपके आंत में उपस्थिति पर असर पड़ता है. </s>",-358.49516103528157,-358.4273856645294,-517.8908131853898,-668.6889484806213,-668.6705659576745,-701.076614518751,-833.325903561052,-831.8108822218217,-849.6713825220064,-856.561654593785,-856.561654593785,-856.561654593785
"<s> उन्होंने बीबीसी को बताया, "" हम आने वाले पांच से दस साल में इसके असर को पूरी तरह से समझ पाएंगे. </s>",-191.2611316452219,-191.1951152290908,-329.9904585808223,-330.4645288278178,-330.43806596666246,-369.10361079805625,-477.85784659863555,-474.82361116351234,-511.2081893888265,-535.2887646404405,-534.7783341039628,-542.3097581552717
"<s> 'जीवन मृत्यु', 'शर्मीली', 'दाग़', 'ब्लैकमेल', 'कभी-कभी', 'तपस्या', 'दूसरा आदमी', 'मुकद्दर का सिकंदर', 'बसेरा', 'शक्ति' और 'करण-अर्जुन' जैसी कितनी ही फ़िल्में राखी के खाते में हैं, आज राखी का 75वां जन्मदिन है. </s>",-582.097703519142,-582.0498644940409,-677.143691363608,-807.6144820469558,-807.6088263482275,-814.0190951651934,-837.5368241407496,-837.026374288753,-845.0544676655455,-828.9306334778564,-828.9306334778564,-828.9306334778564
<s> सात अक्टूबर के हमलों के बाद इसराइली प्रशासन ने डिटेंशन सेंटरों में रेड क्रॉस की इंटरनेशनल कमेटी (आईसीआरसी) के दौरे को भी निलंबित कर दिया है. </s>,-247.52089470129218,-247.44931031919637,-393.45559240397444,-487.21864812180695,-487.1951958045735,-521.1589720545703,-652.0978708094567,-650.0717072984913,-672.3783912369743,-690.7755278982137,-690.7755278982137,-690.7755278982137
<s> पाटीदार ने 11वें ओवर में चार छक्कों की मदद से 27 रन बनाए. </s>,-143.97766992384817,-143.93780149249048,-223.3048739498431,-242.30593857019338,-242.28964160583712,-260.49997209811613,-306.11352599182766,-304.58950036837564,-324.6815829599202,-302.1674511629302,-301.1629045478565,-310.9509840523318
<s> 18वीं लोकसभा की शुरुआत ही असहमति और मतभेद से हुई है. </s>,-127.37464350394484,-127.34118084252958,-197.16723113677443,-266.80012354474394,-266.7940592097668,-275.4179051635369,-288.46531032025666,-287.9629754358866,-292.4342230747505,-276.3102111592855,-276.3102111592855,-276.3102111592855
"<s> एक ओर तो रिपब्लिकन पार्टी है जो खुलकर इसराइल का समर्थन करती है, दूसरी ओर उनकी अपनी डेमोक्रैटिक पार्टी है, जिसमें इस मामले पर राय बँटी हुई है. </s>",-292.1545840181655,-292.1374249982362,-440.82114308948417,-573.7159389798089,-573.6917186819387,-604.7200831746602,-690.0705600393238,-687.5411500777786,-716.1333744660346,-746.0375701300708,-746.0375701300708,-746.0375701300708
"<s> "" ""पीड़िता आम तौर पर वो युवा महिला एथलीट होती थीं जो अपने कंपीटीटिव करियर के शुरुआती दौर में हैं और कई पीड़िताओं के साथ ये दुर्व्यवहार कई सालों तक होता रहा. </s>",-306.3158714251378,-306.22676154149514,-491.5550122464859,-581.4188639933134,-581.3752293639086,-630.8114644708836,-731.39603453544,-726.8396369809585,-780.6292861434579,-841.6660602437611,-841.1593270493322,-846.2510211414099
<s> इसके बाद उसने बांग्लादेश को हरा कर सेमीफाइनल में एंट्री कर ली. </s>,-114.3826965931201,-114.34204370573237,-196.50745575689427,-211.6734882871305,-211.6548579965602,-232.72406383733676,-260.71475217447403,-258.69438227349497,-285.5406304563445,-287.82955960824904,-287.3206600287783,-293.6305918211779
<s> इन चकत्तों में अधिक खुजली या दर्द हो सकता है. </s>,-109.74520297890945,-109.75673197091685,-171.0974920330257,-233.9562415384329,-233.94547644821847,-247.75359680980617,-260.97458869483773,-260.4725120596512,-264.80320265455146,-248.67919004335693,-248.67919004335693,-248.67919004335693
