Sentence,Add-One,Add-K,Token-Type
यूट्यूब  पर  वीडियो  अगस्त  2019 से  मौजूद  है ।,5.9669939347678654e-27,6.135627564670501e-27,4.831793858564025e-53
"कार्यवाही  खत्म  होने  के  बाद  बाहर  जाते  समय  आसाराम  ने  कॉन्सटेबल  से  कहा  कि  ' खाएंगे , पिएंगे  और  जेल  में  मौज  करेंगे . '",3.895183634358179e-93,4.116655170892889e-93,2.1756955238085685e-154
इसके  बाद  उन्हें  तत्काल  नजदीक  के  एक  अस्पताल  में  ले  जाया  गया ।,9.526007361904719e-38,9.918008333580974e-38,1.1246041386255254e-76
वीडियो  में  प्रत्याशी  विरोधियों  और  पुलिस  को  धमकाते  हुए  दिखाई  पड़  रहे  हैं ।,1.2795197055805808e-43,1.33387637916573e-43,1.141044131459211e-82
निकटतम  प्रतिद्वंद्वी  की  पार्टी  सीपीआई - एम  थी .,1.605033220859353e-32,1.6483482622221117e-32,4.666132799460691e-54
व्रत  वाले  श्रद्धालुओं  के  लिए  फलाहार  व  अन्य  भक्तों  के  लिए  भंडारे  का  आयोजन  भी  किया  गया  है ।,5.599501185695372e-57,5.920281622609466e-57,2.470519979587773e-111
इसके  अलावा  इसमें  राइड  मोड  भी  दिया  गया  है ।,1.1199320438973405e-30,1.1538828512629798e-30,2.585069769679565e-59
"इससे  पहले  सिर्फ  Continue reading जिंदगी  वापस  लौटी  पटरी  पर , जानिए  कैसे  मिलेगा  टिकट  और  क्या  होगा  किराया” पूर्व  प्रधानमंत्री  डॉ .",2.4321645539766314e-98,1.944529685307255e-98,3.579189217400901e-145
मौनी  की  ड्रेसेज  फैंस  को  खूब  पसंद  आती  हैं  और  जब  भी  मौनी  ऐसी  ड्रेसेज  पहनकर  सोशल  मीडिया  में  अपनी  फोटो  पोस्ट  करती  हैं  तो  लाइक्स  और  कमेंट्स  की  झड़ी  लग  जाती  है ।,1.1595180922115925e-118,1.2728906668727462e-118,1.877963267775054e-201
बताया  कि  पाइल्स  के  80 फीसदी  मामलों  में  सर्जरी  की  जरूरत  नहीं  होती ।,1.7089636439377865e-43,1.7760079356746335e-43,3.213615858098198e-82
जिसमें  उसने  खुद  को  और  बेटे  को  सचिन  बंसल  से  खतरा  बताया  है ।,2.607111616477759e-41,2.7225988449144305e-41,3.106461956607691e-82
ऐसे  में  सवाल  उठता  है  कि  एक  थाने  में  राधे  मां  के  प्रति  इतनी  श्रद्धा  कहां  तक  उचित  है ?,1.1259751629594755e-63,1.1973973109913193e-63,4.39838976627716e-118
कार  के  कांच  बंद  थे  ड्रायविंग  सीट  पर  बैठी  शेहला  को  गले  के  बीचोंबीच  गोली  मारी  गई  और  वह  बाहर  निकलने  के  बजाए  उसकी  गर्दन  में  बाएं  हिस्से  में  धंसकर  रह  गई ।,2.2931690971613598e-119,2.3906178896237913e-119,4.4400586035320956e-195
भदोही .,6.947988886171186e-08,6.988614577195268e-08,1.7920998964021332e-12
"उन्होंने  कहा  कि  हमारी  भी  अभिलाषा  थी  कि  प्रदेश  में  चौमुखी  विकास  हो , लेकिन  15 महीने  में  कमलनाथ  और  दिग्विजयसिंह  ने  वल्लभ  भवन  को  भ्रष्टाचार  का  अड्डा  बना  डाला ।",1.7586918452198247e-110,1.902377866294016e-110,2.1339693360814357e-189
शौचालय  का  लाभ  आधे  परिवारों  को  मिल  सका  है ।,8.031089933357784e-32,8.283339024191056e-32,4.401835150439301e-59
मंगलवार  को  पटना  में  सुबह - सुबह  र  बिहार  विधानसभा  चुनाव  में  दूसरे  चरण  के  लिए  वोट  डाले  जा  रहे  हैं .,6.667810565269727e-66,7.138556310137206e-66,3.861570447990337e-130
एयरपोर्ट  पर  एक  कार  उनका  इंतज़ार  कर  रही  थी  जिसमे  बैठ  कर  वो  सीधा  मेघन  के  घर  पहुंचे ।,2.1407338275164984e-64,2.2519310934711905e-64,2.8238175856048276e-113
रुफिल  ने  खरीद  से  लेकर  प्रसंस्करण  तक  की  प्रक्रिया  में  कड़े  गुणवत्ता  मानकों  और  जांचों  को  लागू  किया  है ।,1.7887212370161015e-66,1.824804071922358e-66,3.139798717457927e-117
🔊 पूरी  खबर  सुने  हरदोई ।,4.631225560876956e-23,4.716825997805568e-23,2.1301382288356828e-36
"हर  वेबसाइट  में  बिल  का  भुगतान  होता  है  शायद  सबसे  अधिक  सामुदायिक - केंद्रित  मंच  है , रेडिट  विज्ञापनों  के  बारे  में  हमेशा  खुला  और  ईमानदार  रहा  है , और  इंस्टाग्राम  या  फेसबुक  की  तुलना  में  पैसे  से  कम  संचालित  होता  है ।",1.063793106348636e-152,1.200541306252924e-152,1.0684526637655848e-264
किसी  घटना  की  सूचना  देने  के  लिए  आपको  को  पहले  लोगो  report an incident पर  क्लिक  करना  है ।,2.3023364147296858e-63,2.3419521676728244e-63,6.136043613431963e-112
"सड़क  परिवहन , राजमार्ग  और  एमएसएमई  मंत्री  ने  आगे  कहा  कि  अगर  कंपनियां  इस  पर  अंकुश  लगाने  में  विफल  रहीं  तो  सरकार  को  नीतियों  में  बदलाव  करना  होगा  और  परियोजनाओं  में  वैकल्पिक  प्रौद्योगिकियों  को  बढ़ावा  देना  होगा ।",9.163636406543741e-133,1.0255086654550185e-132,5.779247737448093e-231
"भारत  में  इस  वक्त  11 राज्यों  के  बीच  जल  को  लेकर  आपस  में  विवाद  जारी  हैं , मसलन  कर्नाटक  और  तमिलनाडु  के  बीच  कावेरी  जल  विवाद ।",1.777171887343053e-93,1.9242627641078255e-93,3.152513685551143e-165
"अभिनेत्री  ने  फिल्म  का  हिस्सा  बनने  पर  खुशी  जाहिर  करते  हुए  कहा , यह  पसीना  निकालने  वाली  भूमिका  होगी ।",1.6150591383138717e-73,1.7127067910607055e-73,1.2354077334989683e-125
यह  सवाल  इसलिए  भी  जरूरी  है  कि  अगले  लोकसभा  के  चुनाव  के  तत्काल  बाद  प्रधानमंत्री  मोदी  के  सामने  अपने  ही  बनाए  75 वर्ष  की  उम्रसीमा  के  नियम  का  पालन  करने  की  चुनौती  होगी ।,1.4747108534000312e-100,1.6247131839803562e-100,1.5423381280872137e-199
नतीजतन  गुणवत्ता  में  गिरावट  आती  है  और  किसानों  को  आमदनी  का  नुकसान  उठाना  पड़ता  है ।,5.316133401596413e-51,5.583188716734161e-51,8.360915913675697e-94
अवश्य  चाहते  हैं .,5.639681000854246e-13,5.70981745904136e-13,2.8677078054001815e-24
हिमेश  हर  वक्त  एक्टिंग  को  लेकर  टिप्स  देते  रहते  हैं ।,2.05483812915435e-38,2.1230751509082182e-38,8.167173894682963e-66
वर्तमान  समय  में  लोग  अपनी  डाइट  को  लेकर  बेहद  सजग  हो  गए  हैं ।,5.326972423872159e-42,5.5616317510282946e-42,6.540252734224302e-83
किडनी  की  क्षमता  को  बढाकर  मूत्राप्रवृति  को  नियमित  करना  अत्यंत  आवश्यक  होता  है ।,8.181593506853003e-51,6.389163769145866e-51,1.2051769241237372e-82
गिरफ्तार  आरोपियों  से  पूछताछ  की  जा  रही  है ।,4.911183307891787e-24,5.0506033001956195e-24,1.4125788782619838e-52
महानगर  उपाध्यक्ष  सौरव  पोरवाल  ने  कहा  कि  हमारे  प्रदेश  अध्यक्ष  अजय  कुमार  लल्लू  को  सेवा  के  कारण  ही  प्रदेश  सरकार  ने  जेल  में  डालने  का  काम  किया  है  लेकिन  कांग्रेस  फर्जी  मुकदमे  लगाने  के  बावजूद  गरीब  मजदूरों  की  सेवा  को  जारी  रखेगी ।,4.0483374384134274e-137,4.611959544268768e-137,4.563457654057536e-254
"उन्होंने  बताया  कि  जिस  प्रकार  लॉकडाउन  से  पहले  पूरी  क्षमता  के  साथ  बसों  का  संचालन  किया  जा  रहा  था , 20 अगस्त  2020 से  उसी  प्रकार  किया  जा  सकता  है ।",7.204318444015817e-99,7.908645899215273e-99,1.3624943660533165e-189
शाह  ने  पुलवामा  हमले  पर  पाकिस्तानी  प्रधानमंत्री  की  चुप्पी  पर  सवाल  उठाया ।,1.0941106157838843e-42,1.1387935601826397e-42,4.01949993365873e-77
"गणितीय  विज्ञान  संस्थान  में  अनुसंधान  टीम  का  नेतृत्व  करने  वाले  सीताभ्र  सिन्हा  ने  कहा , एक  विश्वसनीय  अनुमान  पाने  के  लिए  भारत  के  उपचाराधीन  मरीजों  की  संपूर्ण  संख्या  में  काफी  उतार - चढ़ाव  हो  रहा  है , लेकिन  आंकड़े  एक  करीब  मान  वैल्यू) रहने  की  ओर  इशारा  कर  रहे  हैं .",1.986152064828765e-186,2.078156027713755e-186,7.5664528397e-314
इससे  अनुमान  लगाया  जा  सकता  है  कि  इस  बार  त्योहारी  सीजन  के  चलते  निगम  ने  लाखों  रुपए  कमाए  हैं ।,8.466962146154794e-63,9.001266624187474e-63,1.8717940365602143e-118
हालांकि  कई  इलाकों  में  पुलिस  की  गश्ती  गाड़ी  को  देखते  ही  दुकानदार  स्वयं  से  दुकानें  बंद  करने  लगे  थे ।,6.253636708356663e-63,6.650540846329428e-63,1.6498055202501637e-118
धमतरी ।,2.7715608624835537e-07,2.787917937817219e-07,4.623349430295873e-12
इलाज  के  दौरान  उनका  आज  निधन  हो  गया  है .,7.582870022447137e-28,7.8224192510004895e-28,3.857833547604759e-59
उनके  मुवक्किल  का  नाम  किसी  डिसक्लोजर  स्टेटमेंट  में  भी  नहीं  है  और  न  ही  किसी  सह  आरोपी  ने  अपने  बयान  में  उनका  नाम  लिया  है ।,1.9963537068090874e-78,2.0407068973066498e-78,8.350168063123748e-153
"दो  साल  में  हुई  कम  बारिश  में  जब  शहर  के  अलग - अलग  हिस्सों  में  भूजल  गिरने  से  जलसंकट  पैदा  हुआ , तो  लोगों  को  पानी  की  कीमत  समझ  में  आई ।",1.1761377950547284e-104,1.292035386211969e-104,3.2686407938305664e-194
उसके  बाद  उसे  फिर  से  वार्ड  में  भर्ती  कर  दिया  गया  है .,1.6204367216534325e-34,1.6873594215495574e-34,1.2272902988230854e-76
उनका  कहना  है  कि  वह  इस  बार  भी  जनता  की  उम्मीदों  पर  खड़े  उतरेंगे ।,1.0673529838699796e-44,1.117350236752402e-44,2.1019251081794303e-88
डीएम  ने  जांच  के  लिए  जिला  भूमि  संरक्षण  अधिकारी  को  नामित  करते  हुए  रिपोर्ट  मांगी  थी ।,1.816395894874062e-52,1.9144768379339763e-52,6.965915330403136e-101
अंतरिक्ष  यात्रा  के  साथ  आबाद  या  मानव  रहित  अंतरिक्ष  स्टेशन  भी  बारीकी  से  जुड़े  हैं ।,8.471579883154085e-56,8.885553823991542e-56,4.5957890787998824e-95
दो  महीने  के  अंदर  चाचा - भतीजे  की  हत्या  से  कई  सवाल  खड़े  हो  गए  हैं .,4.0075070161290766e-51,4.223852070780397e-51,1.0692810624846181e-100
खर्चों  में  अप्रत्याशित  बढ़ोत्तरी  आपके  मन  की  शांति  को  भंग  करेगी ।,2.8222909699822376e-43,2.9242273454090146e-43,4.831801692941071e-71
इसी  के  तहत  लोकसभा  में  विपक्ष  की  सबसे  बड़ी  पार्टी  कांग्रेस  ने  13 मार्च  को  ' डिनर  डिप्लोमेसी ' के  तहत  तमाम  दलों  के  मुखियाओं  को  रात  के  खाने  के  लिए  बुलाया  था .,1.0014344179712032e-104,1.1021607469338273e-104,1.9484608777804357e-199
"निवेश , कोई  भी  व्यक्ति  इस  व्यवसाय  को  शुरू  कर  सकता  है , यहां  तक  कि  घर - आधारित  मसाला  बनाने  का  व्यवसाय  लाभदायक  है ।",1.2735524321199274e-95,1.371573002398822e-95,7.484340875949264e-166
"संवाद  सहयोगी , रूपनगर  रयात  बाहरा  यूनिवर्सिटी  के  वाइस  चांसलर  डा .",3.490888331999055e-62,3.482905911780078e-62,1.696576201391247e-78
उनके  पति  इंडियन  आर्मी  के  साथ  पोर्टर  का  काम  करते  थे ।,3.3196097887247216e-38,3.4328454863811337e-38,3.1369784251046608e-71
एक  घंटे  की  मशक्कत  के  बाद  दमकल  जवानों  ने  आग  पर  काबू  पाया ।,2.2739757781445902e-43,2.374271859002441e-43,2.2201340325350084e-82
बता  दे  की  इन्होने  फिल्म  निर्माता  महेश  भट्ट  से  शादी  की  थी ।,3.891841575921331e-42,4.0484312816958436e-42,5.0075015551609365e-77
"गुजरात  से  रिटायर  होने  वाले  चार  राज्यसभा  सदस्य  हैं - कनिभाई  गोहिल , मधुसूदन  मिस्त्री , महंत  शंभुप्रसाद  टुंडिया  और  लाल  सिंह  वड़ोदिया ।",8.452337961752855e-120,3.329722974743186e-120,5.113647419271716e-156
जब  हमने  पूछा  कि  क्या  राष्ट्रीय  स्वयंसेवक  संघ  की  बैठक  की  वजह  से  यह  सुरक्षा  घेरा  बनाया  गया  है ?,4.859755533457102e-63,5.1691424492729e-63,4.1827694433616205e-119
शौकत  खानुम  मेमोरियल  कैंसर  हॉस्पिटल  एंड  रिसर्च  सेंटर  प्रोजेक्ट  के  लिए  धन  जुटाने  में  मदद  करने  और  अपना  समय  देने  के  लिए  उनकी  उदारता  को  कभी  नहीं  भूल  सकते .,4.417246995037084e-105,4.534083142417516e-105,1.7192550462316073e-178
"उद्योग  संगठन  ने  इस  बारे  में  उपभोक्ता  मामलों  के  मंत्री  पीयूष  गोयल  को  पत्र  लिखकर  कहा  है  कि  बीआईएस  ने  अपनी  वेबसाइट  पर  जो  एफएक्यू  जारी  किया  है , उसमें  काफी  पेंच  है  और  अस्पष्टता  है ।",1.0796652239297173e-126,1.1870016077541932e-126,2.8057290735417543e-223
इस  बदलते  मौसम  में  सावधान  रहने  की  जरूरत  है ।,9.516823171230372e-30,9.81477124221081e-30,1.7896858730211452e-58
छत्तीसगढ़  प्रगतिशील  यादव  महासंघ  के  अध्यक्ष  राममणि  यादव  ने  बताया  कि  रामप्रसाद  यादव  रायपुर  अखबार  जगत  के  सच्चे  प्रहरी  थे ।,5.689373114058207e-79,5.803725982280998e-79,4.3527987735665174e-125
"आज  तक  संक्रमित  रोगियों  की  संख्या  1 , 82 , 552 तक  पहुंच  गई  है ।",4.297578855511705e-70,4.474910952106541e-70,2.403669987090076e-107
"देर  रात  होने  पर  उसने  मां  को  फोन  किया , लेकिन  उसने  कॉल  नहीं  उठाई ।",2.0239608498303744e-58,2.1202600888838123e-58,1.534840572123261e-101
एक  सरकारी  अधिकारी  ने  कहा  कि  संबंधित  जिलों  के  अधिकारियों  को  स्थिति  पर  नजर  रखने  और  आपात  स्थिति  से  निपटने  के  लिए  कार्य  योजना  तैयार  करने  को  कहा  गया  है ।,6.143234488296993e-86,6.763535675994295e-86,1.4367792263032997e-181
with Indian CRPF . . A,3.7659192865048983e-25,3.828256596469026e-25,2.0641425561327803e-36
मुझे  पता  होता  तो  मैं  पुलिसवालों  की  हत्या  नहीं  होने  देती ।,8.363347862526295e-38,8.675559661486239e-38,1.0366664513832532e-71
खानपान  की  सभी  चीजों  पर  इन  दिनों  काफी  महंगाई  है ।,8.377121226368299e-34,8.665619048858299e-34,5.470124318136385e-65
वहां  उसने  आलू  की  टिक्की  का  खोमचा  सजा  लिया .,9.95732811056351e-38,1.011779921391963e-37,4.977424730652121e-60
पाकिस्तान  के  सभी  ऐतिहासिक  गुरुद्वारा  साहिबान  में  श्री  गुरु  नानक  देव  के  550 वें  प्रकाश  पर्व  के  कार्यक्रम  के  आयोजनों  की  रूपरेखा  तय  करने  के  लिए  पाकिस्तान  सिख  गुरुद्वारा  प्रबंधक  कमेटी  के  अध्यक्ष  जसवंत  सिंह  की  अगुवाई  में  एक  बैठक  का  आयोजन  किया  गया ।,1.7606451116782777e-149,1.997557112776987e-149,1.7365074743142175e-264
उन्हें  पहले  अपना  घर  ठीक  करना  चाहिए .,8.019119183587148e-25,8.22130790903903e-25,1.0650727115020753e-48
उल्लेखनीय  है  कि  ग्रामीणों  की  आपत्ति  के  बावजूद  वन  अधिकारियों  ने  सोमवार  को  बोलेपल्ली  के  पास  जमीन  के  एक  टुकड़े  में  पौधे  रोपे ।,2.563101271979017e-76,2.2975026816793372e-76,8.111793193368236e-140
मुख्यालय  अब  ऑनलाइन  ही  यह  तय  करेगा  कि  छात्र - शिक्षक  अनुपात  में  किस  स्कूल  में  शिक्षक  कम  हैं  या  कहां  पद  बढ़ाना  होगा ।,9.26418349035733e-81,1.0008444612375802e-80,4.829608017527132e-149
लोक  उत्सव  के  रूप  में  मनाए  जाने  वाले  मैसूरु  दशहरा  महोत्सव  का  इस  साल  भी  विराट  आयोजन  नहीं  होगा ।,6.66438877725031e-66,7.063425126219363e-66,1.2614817946891127e-118
कफील  खान  पर  भड़काऊ  भाषण  देने  के  आरोप  में  मामला  दर्ज  किया  गया  था .,2.2706472333783093e-47,2.374491041225366e-47,5.6127755650842606e-89
"इंदौर  समाचार  डेस्क: मध्य  प्रदेश  के  इंदौर  और  धार  जिले  के  औद्योगिक  क्षेत्र  पीथमपुर  से  मंगलवार  को  236 किलोग्राम  ड्रग , एफ्रेडीन  बरामद  की  गई .",6.048105162731485e-104,4.882240903314677e-104,1.727686520615863e-160
दूरसंचार  मंत्री  रवि  शंकर  प्रसाद  ने  आज  कहा  कि  देश  में  टेलीफोन  कनेक्शनों  की  संख्या  एक  अरब  के  आंकड़ें  को  पार  कर  गयी  है  जिसमें  मोबाइल  फोन  कनेक्शन  करीब  97.8 करोड़  है ।,3.451836129711073e-110,3.7411915889056754e-110,4.9789669305774536e-195
"इसके  साथ  ही  सहायक  सम्भागीय  परिवहन  अधिकारी  को  निर्देश  दिए  कि  यातायात  के  नियमों  में  ध्यान  रखे  जाने  वाली  बातों  की  एक  चैक  लिस्ट  सभी  टैक्सी  यूनियन , कार्यालय  व  विद्यालयों  को  भेजी  जाए  ताकि  सड़क  दुर्घटनाएं  कम  हो  सके ।",1.3646184111184286e-148,1.5306355659534865e-148,1.594377065390992e-250
अब  दीपक  चौरसिया  के  चेहरे  पर  हवाइयां  उड़  रही  थीं ।,4.6938396071175754e-40,4.739141637353504e-40,1.8514184634480927e-65
कार्यक्रम  को  सम्बोधित  करते  हुए  राजभर  ने  कहा  कि  शासन  की  मंशा  है  कि  प्रदेश  का  हर  बच्चा  स्कूल  जाये  और  कोई  भी  बच्चा  शिक्षा  से  वंचित  न  रहे ।,7.205109366560403e-91,7.902880265087477e-91,4.8873002811091345e-177
प्रशासनिक  अधिकारी  आवास  से  बाहर  नहीं  निकले ।,1.4836479134721787e-25,1.5209022914273924e-25,8.82958436049939e-48
ov . i,3.936579343514385e-12,3.972226872904998e-12,1.4400920313688055e-18
"खट्टर  ने  कहा , यह  कड़वी  सच्चाई  है .",8.715329760317141e-39,8.912514105984342e-39,1.5191339454510013e-59
जब  उन्हें  पता  चला  कि  24 घंटे  बाद  भी  पुलिस  मामला  दर्ज  नहीं  कर  रही  है  तो  वे  भी  हैरान  हो  गए .,6.814889990782776e-66,7.320258889195066e-66,3.8079570021467095e-137
इस  दौरान  माधोपाली  के  अन्य  किसान  तथा  आसपास  गांव  के  किसान  सम्मिलित  हुए ।,9.141183025098281e-46,8.94980053566551e-46,6.0538907275493935e-83
मुजफ्फरपुर  स्मार्ट  सिटी  के  पीडीएमसी  एजेंसी  श्रेया  ने  उसके  कामकाज  पर  विभाग  की  कड़ी  आपत्ति  के  बाद  अपने  टीम  लीडर  सुशील  भारद्वाज  को  हटाया  दिया  गया ।,3.7129486372781225e-94,3.830076753639881e-94,6.546781516983663e-160
डीसीएम  में  सवार  सभी  श्रमिकों  को  उतारकर  रोडवेज  बस  से  अमृतपुर  क्वारंटीन  सेंटर  भेजा  गया .,1.5910966400453423e-59,1.6608001164810749e-59,1.180898511452557e-95
वहां  किशोरी  ने  समिति  के  अधिकारियों  को  घटना  के  बारे  में  बताया ।,9.528364443655645e-35,9.921225046733107e-35,1.7610591028863983e-75
"न्यूज़  ऑर  सबसे  लंबे  समय  तक  चलने  वाला  समाचार  विश्लेषण  है , इतना  लम्बा  समाचार  विश्लेषण  किसी  भी  और  चैनल  में  नहीं  दिखाया  जाता  था  १९९८ - २००३ ।",4.8381197067877135e-114,5.1735275572319885e-114,2.9827758144907708e-179
पिछली  वर्ष  भारत  117 देश  की  इस  लिस्ट  में  102 वें  स्थान  पर  मौजूद  था .,4.4404946936541536e-52,4.663180410586072e-52,2.2159889479076646e-95
वह  अपनी  रेंज  में  रहकर  काम  करते  हैं  और  अरसे  बाद  ठीक  लगते  हैं ।,3.3339430939707767e-46,3.4911301749964866e-46,7.013402715224704e-89
स) ता .,7.181972691389832e-12,7.247943509286528e-12,1.4414115947256006e-18
पर  इस  साल  फरवरी  आते - आते  देश  में  जांचे  इतनी  घट  गईं  कि  हर  दिन  छह  से  आठ  लाख  नमूनों  की  ही  जांच  हो  रही  है ।,3.5432902854950985e-86,3.857975798020476e-86,1.0283490535449991e-165
वर्ष  2018 - 19 तथा  2019 - 20 में  भारत  को  यूनाइटेड  किंगडम  से  क्रमश: 9.4 अरब  डॉलर  और  10 अरब  डॉलर  की  राशि  बतौर  प्रत्यक्ष  विदेशी  निवेश  हासिल  हुई ।,8.891444126162275e-108,9.744760880515736e-108,5.348940537000466e-185
कांग्रेस  नेता  राहुल  गांधी  ने  प्रधानमंत्री  नरेंद्र  मोदी  को  चुनौती  देते  हुए  कहा  कि  वे  किसी  भी  यूनिवर्सिटी  में  जाकर  युवाओं  के  सवालों  के  जवाब  दे  दें .,5.198367345183972e-85,5.670717769145712e-85,3.7853933991151386e-166
पता  चला  कि  वादिनी  या  उसके  परिवार  के  किसी  भी  सदस्य  ने  कोई  हलफनामा  नहीं  दिया ।,1.290924776973776e-52,1.351430523152418e-52,8.43041899954431e-101
शिक्षक  दिवस  पर  प्रयागराज  के  कुछ  विद्यालयों  के  उत्कृष्ट  सेवाएं  देने  वाले  शिक्षकों  को  रोटरी  प्लैटिनम  ने  सम्मानित  किया ।,2.2698373086683205e-67,2.4064708528271638e-67,3.2059379783816845e-118
"बहरहाल , वर्ल्ड  कप  सेमीफाइनल  में  भारत  की  हार  के  बाद  सूरज  तो  हर  दिन  निकलता  रहेगा  लेकिन  कोहली , धोनी  और  शास्त्री  की  तिकड़ी  अगले  आईसीसी  इवेंट  में  एक  साथ  ड्रेसिंग  रूम  में  नजर  नहीं  आएगी - अगला  आईसीसी  वर्ल्ड  टी - 20 अगले  साल  अक्टूबर - नवंबर  में  ऑस्ट्रेलिया  में  होना  है .",6.2076026008107044e-201,7.293871453411258e-201,0.0
इसी  रकम  में  भव्य  समापन  समारोह  के  साथ  सभी  जोन  के  प्रतिभागियों  को  पुरस्कृत  करने  के  साथ  प्रशस्ति  पत्र  भी  देना  होता  है ।,1.9069216315748696e-74,2.052480673304367e-74,1.10187531058339e-140
बरेली .,3.829785178319488e-07,3.853448335738243e-07,1.8001105463593705e-12
लखनऊ  व्यापार  मंडल  के  वरिष्ठ  महामंत्री  अमरनाथ  मिश्रा  ने  बताया  कि  शुक्रवार  से  75 फीसदी  बाजारों  में  दोनों  तरफ  की  दुकानें  खुल  जाएंगी ।,3.229193759556945e-80,3.477316314393088e-80,2.4339486254722725e-142
यह  घटना  साल  2014 की  है  जब  उनकी  बीएमडब्ल्यू  कार  का  नवी  मुंबई  के  खारघर  इलाके  में  एक्सीडेंट  हो  गया ।,3.3304416476173386e-68,3.4990745902738705e-68,1.0578748579201778e-123
इसी  प्रकार  जायोनी  सैनिकों  ने  राहतकर्मी  दल  को  भी  उस  क्षेत्र  में  जाने  की  अनुमति  नहीं  दी  और  अंततः  यह  बच्ची  गम्भीर  रूप  से  घायल  होने  के  कारण  शहीद  हो  गयी ।,2.1302576075403356e-103,2.2622354236344135e-103,3.167371740388352e-189
3 .,4.215672677004462e-06,4.242001796221727e-06,1.898045173388309e-12
"इसके  अंतर्गत  बूथ , मंडल , जिले  और  प्रदेश  स्तर  पर  सम्मेलन  आयोजित  किए  जाएंगे ।",9.968025264404643e-70,1.041053362503291e-69,4.584222451508045e-108
इसके  बाद  स्टीव  ओ  कीफ  ने  उमेश  यादव  04 को  आउट  कर  भारतीय  पारी  को  समेट  दिया ।,1.090826298214848e-64,1.1257685196217023e-64,2.8202499097079433e-107
इसके  बाद  राष्ट्रीय  स्वयंसेव  संघ  की  भिवंडी  इकाई  के  सचिव  ने  राहुल  गांधी  पर  आरोप  लगाया  था  कि  उन्होंने  सोनाले  में  6 मार्च  2014 को  एक  रैली  में  कहा  था  कि  राष्ट्रीय  स्वयंसेवक  संघ  ने  गांधी  जी  की  हत्या  की ।,1.9422589085925054e-130,1.3767599520603564e-130,1.862332534956437e-241
"देश  में  अबतक  कोरोनावायकस  के  126 पॉजिटिव  मामले  दर्ज  हुए  हैं , जबकि  3 की  मौत  हुई  है ।",1.3824231913615526e-69,1.0958972300309947e-69,6.773869116192902e-118
स्कैंडिनेवियाई  देशो  में  यह  इस  साल  भी  अपनी  टॉप  1 में  जगह  पाने  में  सफल  रहा ।,3.410428916770461e-54,3.527565746273461e-54,3.0210480759253353e-100
