Sentence,Quad-Add-One,Quad-Add-K,p_quad_token_type
वीडियो  में  प्रत्याशी  विरोधियों  और  पुलिस  को  धमकाते  हुए  दिखाई  पड़  रहे  हैं ।,1.6570263000475916e-96,4.69225373138786e-93,2.246296564080127e-117
निकटतम  प्रतिद्वंद्वी  की  पार्टी  सीपीआई - एम  थी .,4.686433391407047e-70,1.5322075366718222e-67,1.7121641240015579e-78
व्रत  वाले  श्रद्धालुओं  के  लिए  फलाहार  व  अन्य  भक्तों  के  लिए  भंडारे  का  आयोजन  भी  किया  गया  है ।,3.2697868251725086e-126,3.4096798369080147e-121,2.9437073349789034e-156
इसके  अलावा  इसमें  राइड  मोड  भी  दिया  गया  है ।,3.623189445239631e-58,2.5136661658889907e-55,2.887761160283953e-86
"इससे  पहले  सिर्फ  Continue reading जिंदगी  वापस  लौटी  पटरी  पर , जानिए  कैसे  मिलेगा  टिकट  और  क्या  होगा  किराया” पूर्व  प्रधानमंत्री  डॉ .",3.8630357383198584e-185,5.178073236742913e-181,2.9364103481961192e-204
मौनी  की  ड्रेसेज  फैंस  को  खूब  पसंद  आती  हैं  और  जब  भी  मौनी  ऐसी  ड्रेसेज  पहनकर  सोशल  मीडिया  में  अपनी  फोटो  पोस्ट  करती  हैं  तो  लाइक्स  और  कमेंट्स  की  झड़ी  लग  जाती  है ।,7.459721828847399e-245,4.419821077908234e-237,6.571342383140895e-273
बताया  कि  पाइल्स  के  80 फीसदी  मामलों  में  सर्जरी  की  जरूरत  नहीं  होती ।,2.0923712803844837e-96,8.316794517796862e-93,2.241478210943468e-117
जिसमें  उसने  खुद  को  और  बेटे  को  सचिन  बंसल  से  खतरा  बताया  है ।,3.9212729091248e-101,8.605515472011196e-98,2.2413556452604368e-117
ऐसे  में  सवाल  उठता  है  कि  एक  थाने  में  राधे  मां  के  प्रति  इतनी  श्रद्धा  कहां  तक  उचित  है ?,1.0379570556719588e-134,1.4312769292884948e-129,4.911292681589425e-164
कार  के  कांच  बंद  थे  ड्रायविंग  सीट  पर  बैठी  शेहला  को  गले  के  बीचोंबीच  गोली  मारी  गई  और  वह  बाहर  निकलने  के  बजाए  उसकी  गर्दन  में  बाएं  हिस्से  में  धंसकर  रह  गई ।,9.637694893228222e-245,5.0755172579767746e-238,3.927233275418976e-265
भदोही .,4.8636278596821125e-18,3.8169429536253865e-17,4.678067695466712e-24
"उन्होंने  कहा  कि  हमारी  भी  अभिलाषा  थी  कि  प्रदेश  में  चौमुखी  विकास  हो , लेकिन  15 महीने  में  कमलनाथ  और  दिग्विजयसिंह  ने  वल्लभ  भवन  को  भ्रष्टाचार  का  अड्डा  बना  डाला ।",9.240209017797541e-235,2.255536949591785e-228,1.8068813146026574e-266
शौचालय  का  लाभ  आधे  परिवारों  को  मिल  सका  है ।,2.357258191897945e-73,8.859499658455896e-71,2.8637122820534533e-86
मंगलवार  को  पटना  में  सुबह - सुबह  र  बिहार  विधानसभा  चुनाव  में  दूसरे  चरण  के  लिए  वोट  डाले  जा  रहे  हैं .,1.718481159897341e-139,2.690035171825236e-133,1.3728171953631277e-179
एयरपोर्ट  पर  एक  कार  उनका  इंतज़ार  कर  रही  थी  जिसमे  बैठ  कर  वो  सीधा  मेघन  के  घर  पहुंचे ।,4.268315882305085e-139,9.179249937864284e-135,2.9315936995947433e-156
रुफिल  ने  खरीद  से  लेकर  प्रसंस्करण  तक  की  प्रक्रिया  में  कड़े  गुणवत्ता  मानकों  और  जांचों  को  लागू  किया  है ।,6.066095515193976e-148,1.276248801508667e-143,4.9099286692082754e-164
🔊 पूरी  खबर  सुने  हरदोई ।,2.630150120728999e-34,3.313650192952382e-32,3.66128199738389e-55
"हर  वेबसाइट  में  बिल  का  भुगतान  होता  है  शायद  सबसे  अधिक  सामुदायिक - केंद्रित  मंच  है , रेडिट  विज्ञापनों  के  बारे  में  हमेशा  खुला  और  ईमानदार  रहा  है , और  इंस्टाग्राम  या  फेसबुक  की  तुलना  में  पैसे  से  कम  संचालित  होता  है ।",0.0,0.0,0.0
किसी  घटना  की  सूचना  देने  के  लिए  आपको  को  पहले  लोगो  report an incident पर  क्लिक  करना  है ।,1.2577401156784877e-131,8.239853762041438e-127,2.932777998707325e-156
"सड़क  परिवहन , राजमार्ग  और  एमएसएमई  मंत्री  ने  आगे  कहा  कि  अगर  कंपनियां  इस  पर  अंकुश  लगाने  में  विफल  रहीं  तो  सरकार  को  नीतियों  में  बदलाव  करना  होगा  और  परियोजनाओं  में  वैकल्पिक  प्रौद्योगिकियों  को  बढ़ावा  देना  होगा ।",1.7216490281277435e-286,2.2951488851539943e-278,6.566e-321
"भारत  में  इस  वक्त  11 राज्यों  के  बीच  जल  को  लेकर  आपस  में  विवाद  जारी  हैं , मसलन  कर्नाटक  और  तमिलनाडु  के  बीच  कावेरी  जल  विवाद ।",2.085866788301041e-211,6.165800568669789e-206,2.2956078166743454e-235
"अभिनेत्री  ने  फिल्म  का  हिस्सा  बनने  पर  खुशी  जाहिर  करते  हुए  कहा , यह  पसीना  निकालने  वाली  भूमिका  होगी ।",1.0195211766862967e-158,1.7740659341303766e-154,6.266884773759861e-181
यह  सवाल  इसलिए  भी  जरूरी  है  कि  अगले  लोकसभा  के  चुनाव  के  तत्काल  बाद  प्रधानमंत्री  मोदी  के  सामने  अपने  ही  बनाए  75 वर्ष  की  उम्रसीमा  के  नियम  का  पालन  करने  की  चुनौती  होगी ।,1.7355784719343283e-235,3.305900146270175e-227,6.5855272824754235e-273
नतीजतन  गुणवत्ता  में  गिरावट  आती  है  और  किसानों  को  आमदनी  का  नुकसान  उठाना  पड़ता  है ।,3.8110720195585525e-114,3.64102065095872e-110,6.2674030436624215e-133
अवश्य  चाहते  हैं .,1.0357811287020079e-33,1.38130485063149e-32,1.3085481582258988e-39
हिमेश  हर  वक्त  एक्टिंग  को  लेकर  टिप्स  देते  रहते  हैं ।,1.7992123220403965e-82,7.3158911855164e-80,4.790128053663661e-94
वर्तमान  समय  में  लोग  अपनी  डाइट  को  लेकर  बेहद  सजग  हो  गए  हैं ।,1.6411842792720856e-92,9.74542842256755e-89,2.243002421904989e-117
किडनी  की  क्षमता  को  बढाकर  मूत्राप्रवृति  को  नियमित  करना  अत्यंत  आवश्यक  होता  है ।,3.766751327053363e-101,8.972206669706894e-98,2.2423398768796274e-117
गिरफ्तार  आरोपियों  से  पूछताछ  की  जा  रही  है ।,5.50854738437639e-49,5.0784243634254436e-46,1.7187477864221826e-78
महानगर  उपाध्यक्ष  सौरव  पोरवाल  ने  कहा  कि  हमारे  प्रदेश  अध्यक्ष  अजय  कुमार  लल्लू  को  सेवा  के  कारण  ही  प्रदेश  सरकार  ने  जेल  में  डालने  का  काम  किया  है  लेकिन  कांग्रेस  फर्जी  मुकदमे  लगाने  के  बावजूद  गरीब  मजदूरों  की  सेवा  को  जारी  रखेगी ।,1.509186592872767e-302,2.2226026237329816e-292,0.0
"उन्होंने  बताया  कि  जिस  प्रकार  लॉकडाउन  से  पहले  पूरी  क्षमता  के  साथ  बसों  का  संचालन  किया  जा  रहा  था , 20 अगस्त  2020 से  उसी  प्रकार  किया  जा  सकता  है ।",1.1254994256689994e-216,7.552335069970024e-210,1.806650374410402e-266
शाह  ने  पुलवामा  हमले  पर  पाकिस्तानी  प्रधानमंत्री  की  चुप्पी  पर  सवाल  उठाया ।,1.247272521075434e-92,3.3372206103016995e-89,1.3396347768420802e-109
"गणितीय  विज्ञान  संस्थान  में  अनुसंधान  टीम  का  नेतृत्व  करने  वाले  सीताभ्र  सिन्हा  ने  कहा , एक  विश्वसनीय  अनुमान  पाने  के  लिए  भारत  के  उपचाराधीन  मरीजों  की  संपूर्ण  संख्या  में  काफी  उतार - चढ़ाव  हो  रहा  है , लेकिन  आंकड़े  एक  करीब  मान  वैल्यू) रहने  की  ओर  इशारा  कर  रहे  हैं .",0.0,0.0,0.0
इससे  अनुमान  लगाया  जा  सकता  है  कि  इस  बार  त्योहारी  सीजन  के  चलते  निगम  ने  लाखों  रुपए  कमाए  हैं ।,3.7157425532171644e-131,1.1849593045729043e-125,4.909714088846146e-164
हालांकि  कई  इलाकों  में  पुलिस  की  गश्ती  गाड़ी  को  देखते  ही  दुकानदार  स्वयं  से  दुकानें  बंद  करने  लगे  थे ।,8.765635209517643e-141,9.326451688515556e-136,4.9089044976628354e-164
धमतरी ।,2.336138086793769e-16,1.860858400854088e-15,4.678125826819902e-24
इलाज  के  दौरान  उनका  आज  निधन  हो  गया  है .,3.3698800556037074e-62,3.1204031442377523e-59,2.865728287938049e-86
उनके  मुवक्किल  का  नाम  किसी  डिसक्लोजर  स्टेटमेंट  में  भी  नहीं  है  और  न  ही  किसी  सह  आरोपी  ने  अपने  बयान  में  उनका  नाम  लिया  है ।,5.174273751327143e-178,6.901052421161207e-172,1.0740861519595808e-210
"दो  साल  में  हुई  कम  बारिश  में  जब  शहर  के  अलग - अलग  हिस्सों  में  भूजल  गिरने  से  जलसंकट  पैदा  हुआ , तो  लोगों  को  पानी  की  कीमत  समझ  में  आई ।",7.816770538065073e-240,5.290249376433134e-233,3.0021446205288787e-274
उसके  बाद  उसे  फिर  से  वार्ड  में  भर्ती  कर  दिया  गया  है .,9.891947837241143e-78,6.387871331805847e-74,1.3418162771984145e-109
उनका  कहना  है  कि  वह  इस  बार  भी  जनता  की  उम्मीदों  पर  खड़े  उतरेंगे ।,3.472832675409073e-95,5.777808790872519e-91,3.749152562623672e-125
डीएम  ने  जांच  के  लिए  जिला  भूमि  संरक्षण  अधिकारी  को  नामित  करते  हुए  रिपोर्ट  मांगी  थी ।,3.0743481655995582e-117,1.1377678802870206e-112,1.048208390133622e-140
अंतरिक्ष  यात्रा  के  साथ  आबाद  या  मानव  रहित  अंतरिक्ष  स्टेशन  भी  बारीकी  से  जुड़े  हैं ।,3.2793660110167455e-119,1.3786912167164584e-115,6.2666689763325975e-133
दो  महीने  के  अंदर  चाचा - भतीजे  की  हत्या  से  कई  सवाल  खड़े  हो  गए  हैं .,2.9251892113139058e-111,1.7537992593105882e-106,1.0485125556800929e-140
खर्चों  में  अप्रत्याशित  बढ़ोत्तरी  आपके  मन  की  शांति  को  भंग  करेगी ।,7.03120474551971e-89,1.5737396254432163e-85,8.00958324163151e-102
इसी  के  तहत  लोकसभा  में  विपक्ष  की  सबसे  बड़ी  पार्टी  कांग्रेस  ने  13 मार्च  को  ' डिनर  डिप्लोमेसी ' के  तहत  तमाम  दलों  के  मुखियाओं  को  रात  के  खाने  के  लिए  बुलाया  था .,1.1108400025623481e-234,1.5676715186517566e-226,6.575215015707733e-273
"निवेश , कोई  भी  व्यक्ति  इस  व्यवसाय  को  शुरू  कर  सकता  है , यहां  तक  कि  घर - आधारित  मसाला  बनाने  का  व्यवसाय  लाभदायक  है ।",1.433462889010094e-227,2.620429332427636e-223,1.7528464856307658e-244
"संवाद  सहयोगी , रूपनगर  रयात  बाहरा  यूनिवर्सिटी  के  वाइस  चांसलर  डा .",9.69697418256752e-104,2.3614503191446936e-101,1.0239346109708173e-118
उनके  पति  इंडियन  आर्मी  के  साथ  पोर्टर  का  काम  करते  थे ।,1.4866624735963525e-82,1.5737280440471696e-79,8.014895412739518e-102
एक  घंटे  की  मशक्कत  के  बाद  दमकल  जवानों  ने  आग  पर  काबू  पाया ।,1.523439551882919e-85,3.0917824756582763e-81,2.2436086514435053e-117
बता  दे  की  इन्होने  फिल्म  निर्माता  महेश  भट्ट  से  शादी  की  थी ।,3.311609619633193e-85,9.119122719523703e-82,1.341291755224386e-109
"गुजरात  से  रिटायर  होने  वाले  चार  राज्यसभा  सदस्य  हैं - कनिभाई  गोहिल , मधुसूदन  मिस्त्री , महंत  शंभुप्रसाद  टुंडिया  और  लाल  सिंह  वड़ोदिया ।",3.1375055006066435e-213,1.0578502809136463e-209,1.0481372715853418e-224
जब  हमने  पूछा  कि  क्या  राष्ट्रीय  स्वयंसेवक  संघ  की  बैठक  की  वजह  से  यह  सुरक्षा  घेरा  बनाया  गया  है ?,3.1799277307843048e-139,5.717289357091876e-134,4.906298956040995e-164
शौकत  खानुम  मेमोरियल  कैंसर  हॉस्पिटल  एंड  रिसर्च  सेंटर  प्रोजेक्ट  के  लिए  धन  जुटाने  में  मदद  करने  और  अपना  समय  देने  के  लिए  उनकी  उदारता  को  कभी  नहीं  भूल  सकते .,8.348679767998784e-218,1.3090424014723409e-210,8.394423912869216e-242
"उद्योग  संगठन  ने  इस  बारे  में  उपभोक्ता  मामलों  के  मंत्री  पीयूष  गोयल  को  पत्र  लिखकर  कहा  है  कि  बीआईएस  ने  अपनी  वेबसाइट  पर  जो  एफएक्यू  जारी  किया  है , उसमें  काफी  पेंच  है  और  अस्पष्टता  है ।",8.947805720969337e-279,1.0330559279220068e-270,3.92714500566e-313
इस  बदलते  मौसम  में  सावधान  रहने  की  जरूरत  है ।,9.183567334636406e-62,9.317884530784438e-59,2.883188423482826e-86
छत्तीसगढ़  प्रगतिशील  यादव  महासंघ  के  अध्यक्ष  राममणि  यादव  ने  बताया  कि  रामप्रसाद  यादव  रायपुर  अखबार  जगत  के  सच्चे  प्रहरी  थे ।,1.1018122632869349e-157,2.8040541434162185e-153,8.200363903852935e-172
"आज  तक  संक्रमित  रोगियों  की  संख्या  1 , 82 , 552 तक  पहुंच  गई  है ।",1.05718073161763e-135,6.983885261766651e-133,2.870740102387403e-158
"देर  रात  होने  पर  उसने  मां  को  फोन  किया , लेकिन  उसने  कॉल  नहीं  उठाई ।",1.1595346942232172e-134,1.751775258820988e-131,8.010290412995369e-150
एक  सरकारी  अधिकारी  ने  कहा  कि  संबंधित  जिलों  के  अधिकारियों  को  स्थिति  पर  नजर  रखने  और  आपात  स्थिति  से  निपटने  के  लिए  कार्य  योजना  तैयार  करने  को  कहा  गया  है ।,1.7993001739746662e-187,2.1367280828737341e-178,1.410845377135096e-249
with Indian CRPF . . A,4.919039163753711e-52,1.0939367383429832e-50,3.6600025608098036e-55
मुझे  पता  होता  तो  मैं  पुलिसवालों  की  हत्या  नहीं  होने  देती ।,2.4843100973909522e-87,3.718341912199268e-84,8.011670699083168e-102
खानपान  की  सभी  चीजों  पर  इन  दिनों  काफी  महंगाई  है ।,5.255210281477802e-85,2.7123980955916507e-82,4.789114521152212e-94
वहां  उसने  आलू  की  टिक्की  का  खोमचा  सजा  लिया .,7.202159350737362e-77,1.3621780924752445e-74,2.864240806359354e-86
पाकिस्तान  के  सभी  ऐतिहासिक  गुरुद्वारा  साहिबान  में  श्री  गुरु  नानक  देव  के  550 वें  प्रकाश  पर्व  के  कार्यक्रम  के  आयोजनों  की  रूपरेखा  तय  करने  के  लिए  पाकिस्तान  सिख  गुरुद्वारा  प्रबंधक  कमेटी  के  अध्यक्ष  जसवंत  सिंह  की  अगुवाई  में  एक  बैठक  का  आयोजन  किया  गया ।,1.230473723577121e-291,4.724171391678186e-280,0.0
उन्हें  पहले  अपना  घर  ठीक  करना  चाहिए .,6.447929813443765e-59,7.007999712473917e-57,1.0241263429668685e-70
उल्लेखनीय  है  कि  ग्रामीणों  की  आपत्ति  के  बावजूद  वन  अधिकारियों  ने  सोमवार  को  बोलेपल्ली  के  पास  जमीन  के  एक  टुकड़े  में  पौधे  रोपे ।,1.4567847283104516e-169,5.890151560079349e-164,3.8373349741265096e-195
मुख्यालय  अब  ऑनलाइन  ही  यह  तय  करेगा  कि  छात्र - शिक्षक  अनुपात  में  किस  स्कूल  में  शिक्षक  कम  हैं  या  कहां  पद  बढ़ाना  होगा ।,3.0370315060919674e-188,4.772461357224359e-183,6.41534859336926e-203
लोक  उत्सव  के  रूप  में  मनाए  जाने  वाले  मैसूरु  दशहरा  महोत्सव  का  इस  साल  भी  विराट  आयोजन  नहीं  होगा ।,3.8369721063570623e-143,1.97514457216277e-138,4.903453262194851e-164
कफील  खान  पर  भड़काऊ  भाषण  देने  के  आरोप  में  मामला  दर्ज  किया  गया  था .,8.159669028773539e-92,2.5705986583924298e-87,3.74830808986236e-125
"इंदौर  समाचार  डेस्क: मध्य  प्रदेश  के  इंदौर  और  धार  जिले  के  औद्योगिक  क्षेत्र  पीथमपुर  से  मंगलवार  को  236 किलोग्राम  ड्रग , एफ्रेडीन  बरामद  की  गई .",4.225078614636062e-207,8.209756853853986e-202,1.3715841993411848e-227
दूरसंचार  मंत्री  रवि  शंकर  प्रसाद  ने  आज  कहा  कि  देश  में  टेलीफोन  कनेक्शनों  की  संख्या  एक  अरब  के  आंकड़ें  को  पार  कर  गयी  है  जिसमें  मोबाइल  फोन  कनेक्शन  करीब  97.8 करोड़  है ।,2.8059070584751026e-233,2.0630498808597712e-225,3.927137058444377e-265
"इसके  साथ  ही  सहायक  सम्भागीय  परिवहन  अधिकारी  को  निर्देश  दिए  कि  यातायात  के  नियमों  में  ध्यान  रखे  जाने  वाली  बातों  की  एक  चैक  लिस्ट  सभी  टैक्सी  यूनियन , कार्यालय  व  विद्यालयों  को  भेजी  जाए  ताकि  सड़क  दुर्घटनाएं  कम  हो  सके ।",2.1973224278610387e-307,2.7535821863324754e-299,0.0
अब  दीपक  चौरसिया  के  चेहरे  पर  हवाइयां  उड़  रही  थीं ।,4.479073743380288e-81,2.12278074297086e-78,4.795147516602489e-94
कार्यक्रम  को  सम्बोधित  करते  हुए  राजभर  ने  कहा  कि  शासन  की  मंशा  है  कि  प्रदेश  का  हर  बच्चा  स्कूल  जाये  और  कोई  भी  बच्चा  शिक्षा  से  वंचित  न  रहे ।,2.615104288649233e-199,3.706305697180911e-191,8.396634483858854e-242
प्रशासनिक  अधिकारी  आवास  से  बाहर  नहीं  निकले ।,1.0352119727490093e-58,1.8164886792346594e-56,1.0237610235302986e-70
ov . i,8.971207499374026e-19,1.4337012259927558e-17,7.824764303779145e-32
"खट्टर  ने  कहा , यह  कड़वी  सच्चाई  है .",6.966718610214608e-87,3.0019048364251937e-85,2.1884138021993854e-95
जब  उन्हें  पता  चला  कि  24 घंटे  बाद  भी  पुलिस  मामला  दर्ज  नहीं  कर  रही  है  तो  वे  भी  हैरान  हो  गए .,3.378663752734462e-149,1.1109899880968076e-142,2.2953633144145717e-187
इस  दौरान  माधोपाली  के  अन्य  किसान  तथा  आसपास  गांव  के  किसान  सम्मिलित  हुए ।,8.205764049943894e-101,1.0924183193078779e-97,2.256921812594903e-117
मुजफ्फरपुर  स्मार्ट  सिटी  के  पीडीएमसी  एजेंसी  श्रेया  ने  उसके  कामकाज  पर  विभाग  की  कड़ी  आपत्ति  के  बाद  अपने  टीम  लीडर  सुशील  भारद्वाज  को  हटाया  दिया  गया ।,3.1585959038939358e-201,1.2368678459253537e-195,1.7953012390322315e-218
डीसीएम  में  सवार  सभी  श्रमिकों  को  उतारकर  रोडवेज  बस  से  अमृतपुर  क्वारंटीन  सेंटर  भेजा  गया .,1.997044505835876e-122,6.518867162016446e-119,6.266550965142155e-133
वहां  किशोरी  ने  समिति  के  अधिकारियों  को  घटना  के  बारे  में  बताया ।,1.4285179203988017e-85,6.093770623738955e-82,1.3400834624102605e-109
"न्यूज़  ऑर  सबसे  लंबे  समय  तक  चलने  वाला  समाचार  विश्लेषण  है , इतना  लम्बा  समाचार  विश्लेषण  किसी  भी  और  चैनल  में  नहीं  दिखाया  जाता  था  १९९८ - २००३ ।",4.3270756579510574e-235,7.687589729098541e-230,6.415348808025924e-251
पिछली  वर्ष  भारत  117 देश  की  इस  लिस्ट  में  102 वें  स्थान  पर  मौजूद  था .,1.207817848600794e-118,9.375811655517274e-115,6.266747998403806e-133
वह  अपनी  रेंज  में  रहकर  काम  करते  हैं  और  अरसे  बाद  ठीक  लगते  हैं ।,2.752581163688668e-105,1.277568294372077e-101,3.7507124641573237e-125
स) ता .,6.4390303703585625e-18,1.0293610128807167e-16,7.825419677624811e-32
पर  इस  साल  फरवरी  आते - आते  देश  में  जांचे  इतनी  घट  गईं  कि  हर  दिन  छह  से  आठ  लाख  नमूनों  की  ही  जांच  हो  रही  है ।,3.0774752846302564e-194,2.1865233265288552e-187,3.0102650874389582e-226
वर्ष  2018 - 19 तथा  2019 - 20 में  भारत  को  यूनाइटेड  किंगडम  से  क्रमश: 9.4 अरब  डॉलर  और  10 अरब  डॉलर  की  राशि  बतौर  प्रत्यक्ष  विदेशी  निवेश  हासिल  हुई ।,3.7592732238591985e-220,4.3881233383078417e-213,1.404195525962452e-249
कांग्रेस  नेता  राहुल  गांधी  ने  प्रधानमंत्री  नरेंद्र  मोदी  को  चुनौती  देते  हुए  कहा  कि  वे  किसी  भी  यूनिवर्सिटी  में  जाकर  युवाओं  के  सवालों  के  जवाब  दे  दें .,1.2946422069671718e-173,7.257138289992918e-166,3.0028850626294327e-226
पता  चला  कि  वादिनी  या  उसके  परिवार  के  किसी  भी  सदस्य  ने  कोई  हलफनामा  नहीं  दिया ।,3.285821056162987e-118,6.420408890927715e-114,1.0481507014689032e-140
शिक्षक  दिवस  पर  प्रयागराज  के  कुछ  विद्यालयों  के  उत्कृष्ट  सेवाएं  देने  वाले  शिक्षकों  को  रोटरी  प्लैटिनम  ने  सम्मानित  किया ।,8.281356910851755e-145,3.607567461338797e-140,4.903172821671111e-164
"बहरहाल , वर्ल्ड  कप  सेमीफाइनल  में  भारत  की  हार  के  बाद  सूरज  तो  हर  दिन  निकलता  रहेगा  लेकिन  कोहली , धोनी  और  शास्त्री  की  तिकड़ी  अगले  आईसीसी  इवेंट  में  एक  साथ  ड्रेसिंग  रूम  में  नजर  नहीं  आएगी - अगला  आईसीसी  वर्ल्ड  टी - 20 अगले  साल  अक्टूबर - नवंबर  में  ऑस्ट्रेलिया  में  होना  है .",0.0,0.0,0.0
इसी  रकम  में  भव्य  समापन  समारोह  के  साथ  सभी  जोन  के  प्रतिभागियों  को  पुरस्कृत  करने  के  साथ  प्रशस्ति  पत्र  भी  देना  होता  है ।,9.558682516998513e-171,4.196905651149746e-165,3.843166751514392e-195
बरेली .,1.9335294524271478e-17,1.5114591289142272e-16,4.678207663466685e-24
लखनऊ  व्यापार  मंडल  के  वरिष्ठ  महामंत्री  अमरनाथ  मिश्रा  ने  बताया  कि  शुक्रवार  से  75 फीसदी  बाजारों  में  दोनों  तरफ  की  दुकानें  खुल  जाएंगी ।,2.3842203749877705e-169,3.666553985154789e-163,3.836712588519485e-195
यह  घटना  साल  2014 की  है  जब  उनकी  बीएमडब्ल्यू  कार  का  नवी  मुंबई  के  खारघर  इलाके  में  एक्सीडेंट  हो  गया ।,2.4744940531584115e-148,2.369349687373039e-143,8.227197936899219e-172
इसी  प्रकार  जायोनी  सैनिकों  ने  राहतकर्मी  दल  को  भी  उस  क्षेत्र  में  जाने  की  अनुमति  नहीं  दी  और  अंततः  यह  बच्ची  गम्भीर  रूप  से  घायल  होने  के  कारण  शहीद  हो  गयी ।,3.36874598481897e-219,1.547248898613733e-211,2.350777625366045e-257
3 .,8.54935905219305e-13,6.8361361123237695e-12,4.679416258212032e-24
"इसके  अंतर्गत  बूथ , मंडल , जिले  और  प्रदेश  स्तर  पर  सम्मेलन  आयोजित  किए  जाएंगे ।",7.529314447576601e-140,4.1594186626493106e-137,2.874524630687059e-158
इसके  बाद  स्टीव  ओ  कीफ  ने  उमेश  यादव  04 को  आउट  कर  भारतीय  पारी  को  समेट  दिया ।,3.621172652548023e-128,7.522847666525878e-124,1.7615879215381785e-148
इसके  बाद  राष्ट्रीय  स्वयंसेव  संघ  की  भिवंडी  इकाई  के  सचिव  ने  राहुल  गांधी  पर  आरोप  लगाया  था  कि  उन्होंने  सोनाले  में  6 मार्च  2014 को  एक  रैली  में  कहा  था  कि  राष्ट्रीय  स्वयंसेवक  संघ  ने  गांधी  जी  की  हत्या  की ।,2.644735437902418e-274,6.9055527772014635e-264,0.0
"देश  में  अबतक  कोरोनावायकस  के  126 पॉजिटिव  मामले  दर्ज  हुए  हैं , जबकि  3 की  मौत  हुई  है ।",1.9555452987309294e-146,1.2542959147613585e-142,3.7519042970865805e-173
स्कैंडिनेवियाई  देशो  में  यह  इस  साल  भी  अपनी  टॉप  1 में  जगह  पाने  में  सफल  रहा ।,2.0370467364766884e-127,1.720755711449645e-123,1.0480652134666636e-140
