Sentence,Add-One,Add-K,Token-Type
वीडियो  में  प्रत्याशी  विरोधियों  और  पुलिस  को  धमकाते  हुए  दिखाई  पड़  रहे  हैं ।,1.0000000000000141e-180,1.0000000000000141e-180,1.0000000000000141e-180
निकटतम  प्रतिद्वंद्वी  की  पार्टी  सीपीआई - एम  थी .,1.0000000000000094e-120,1.0000000000000094e-120,1.0000000000000094e-120
व्रत  वाले  श्रद्धालुओं  के  लिए  फलाहार  व  अन्य  भक्तों  के  लिए  भंडारे  का  आयोजन  भी  किया  गया  है ।,1.000000000000019e-240,1.000000000000019e-240,1.000000000000019e-240
इसके  अलावा  इसमें  राइड  मोड  भी  दिया  गया  है ।,1.0000000000000105e-132,1.0000000000000105e-132,1.0000000000000105e-132
"इससे  पहले  सिर्फ  Continue reading जिंदगी  वापस  लौटी  पटरी  पर , जानिए  कैसे  मिलेगा  टिकट  और  क्या  होगा  किराया” पूर्व  प्रधानमंत्री  डॉ .",1.0000000000000227e-288,1.0000000000000227e-288,1.0000000000000227e-288
मौनी  की  ड्रेसेज  फैंस  को  खूब  पसंद  आती  हैं  और  जब  भी  मौनी  ऐसी  ड्रेसेज  पहनकर  सोशल  मीडिया  में  अपनी  फोटो  पोस्ट  करती  हैं  तो  लाइक्स  और  कमेंट्स  की  झड़ी  लग  जाती  है ।,0.0,0.0,0.0
बताया  कि  पाइल्स  के  80 फीसदी  मामलों  में  सर्जरी  की  जरूरत  नहीं  होती ।,1.0000000000000141e-180,1.0000000000000141e-180,1.0000000000000141e-180
जिसमें  उसने  खुद  को  और  बेटे  को  सचिन  बंसल  से  खतरा  बताया  है ।,1.0000000000000141e-180,1.0000000000000141e-180,1.0000000000000141e-180
ऐसे  में  सवाल  उठता  है  कि  एक  थाने  में  राधे  मां  के  प्रति  इतनी  श्रद्धा  कहां  तक  उचित  है ?,1.0000000000000199e-252,1.0000000000000199e-252,1.0000000000000199e-252
कार  के  कांच  बंद  थे  ड्रायविंग  सीट  पर  बैठी  शेहला  को  गले  के  बीचोंबीच  गोली  मारी  गई  और  वह  बाहर  निकलने  के  बजाए  उसकी  गर्दन  में  बाएं  हिस्से  में  धंसकर  रह  गई ।,0.0,0.0,0.0
भदोही .,1.0000000000000028e-36,1.0000000000000028e-36,1.0000000000000028e-36
"उन्होंने  कहा  कि  हमारी  भी  अभिलाषा  थी  कि  प्रदेश  में  चौमुखी  विकास  हो , लेकिन  15 महीने  में  कमलनाथ  और  दिग्विजयसिंह  ने  वल्लभ  भवन  को  भ्रष्टाचार  का  अड्डा  बना  डाला ।",0.0,0.0,0.0
शौचालय  का  लाभ  आधे  परिवारों  को  मिल  सका  है ।,1.0000000000000105e-132,1.0000000000000105e-132,1.0000000000000105e-132
मंगलवार  को  पटना  में  सुबह - सुबह  र  बिहार  विधानसभा  चुनाव  में  दूसरे  चरण  के  लिए  वोट  डाले  जा  रहे  हैं .,1.0000000000000217e-276,1.0000000000000217e-276,1.0000000000000217e-276
एयरपोर्ट  पर  एक  कार  उनका  इंतज़ार  कर  रही  थी  जिसमे  बैठ  कर  वो  सीधा  मेघन  के  घर  पहुंचे ।,1.000000000000019e-240,1.000000000000019e-240,1.000000000000019e-240
रुफिल  ने  खरीद  से  लेकर  प्रसंस्करण  तक  की  प्रक्रिया  में  कड़े  गुणवत्ता  मानकों  और  जांचों  को  लागू  किया  है ।,1.0000000000000199e-252,1.0000000000000199e-252,1.0000000000000199e-252
🔊 पूरी  खबर  सुने  हरदोई ।,1.0000000000000067e-84,1.0000000000000067e-84,1.0000000000000067e-84
"हर  वेबसाइट  में  बिल  का  भुगतान  होता  है  शायद  सबसे  अधिक  सामुदायिक - केंद्रित  मंच  है , रेडिट  विज्ञापनों  के  बारे  में  हमेशा  खुला  और  ईमानदार  रहा  है , और  इंस्टाग्राम  या  फेसबुक  की  तुलना  में  पैसे  से  कम  संचालित  होता  है ।",0.0,0.0,0.0
किसी  घटना  की  सूचना  देने  के  लिए  आपको  को  पहले  लोगो  report an incident पर  क्लिक  करना  है ।,1.000000000000019e-240,1.000000000000019e-240,1.000000000000019e-240
"सड़क  परिवहन , राजमार्ग  और  एमएसएमई  मंत्री  ने  आगे  कहा  कि  अगर  कंपनियां  इस  पर  अंकुश  लगाने  में  विफल  रहीं  तो  सरकार  को  नीतियों  में  बदलाव  करना  होगा  और  परियोजनाओं  में  वैकल्पिक  प्रौद्योगिकियों  को  बढ़ावा  देना  होगा ।",0.0,0.0,0.0
"भारत  में  इस  वक्त  11 राज्यों  के  बीच  जल  को  लेकर  आपस  में  विवाद  जारी  हैं , मसलन  कर्नाटक  और  तमिलनाडु  के  बीच  कावेरी  जल  विवाद ।",0.0,0.0,0.0
"अभिनेत्री  ने  फिल्म  का  हिस्सा  बनने  पर  खुशी  जाहिर  करते  हुए  कहा , यह  पसीना  निकालने  वाली  भूमिका  होगी ।",1.0000000000000199e-252,1.0000000000000199e-252,1.0000000000000199e-252
यह  सवाल  इसलिए  भी  जरूरी  है  कि  अगले  लोकसभा  के  चुनाव  के  तत्काल  बाद  प्रधानमंत्री  मोदी  के  सामने  अपने  ही  बनाए  75 वर्ष  की  उम्रसीमा  के  नियम  का  पालन  करने  की  चुनौती  होगी ।,0.0,0.0,0.0
नतीजतन  गुणवत्ता  में  गिरावट  आती  है  और  किसानों  को  आमदनी  का  नुकसान  उठाना  पड़ता  है ।,1.0000000000000161e-204,1.0000000000000161e-204,1.0000000000000161e-204
अवश्य  चाहते  हैं .,1.0000000000000048e-60,1.0000000000000048e-60,1.0000000000000048e-60
हिमेश  हर  वक्त  एक्टिंग  को  लेकर  टिप्स  देते  रहते  हैं ।,1.0000000000000113e-144,1.0000000000000113e-144,1.0000000000000113e-144
वर्तमान  समय  में  लोग  अपनी  डाइट  को  लेकर  बेहद  सजग  हो  गए  हैं ।,1.0000000000000141e-180,1.0000000000000141e-180,1.0000000000000141e-180
किडनी  की  क्षमता  को  बढाकर  मूत्राप्रवृति  को  नियमित  करना  अत्यंत  आवश्यक  होता  है ।,1.0000000000000141e-180,1.0000000000000141e-180,1.0000000000000141e-180
गिरफ्तार  आरोपियों  से  पूछताछ  की  जा  रही  है ।,1.0000000000000094e-120,1.0000000000000094e-120,1.0000000000000094e-120
महानगर  उपाध्यक्ष  सौरव  पोरवाल  ने  कहा  कि  हमारे  प्रदेश  अध्यक्ष  अजय  कुमार  लल्लू  को  सेवा  के  कारण  ही  प्रदेश  सरकार  ने  जेल  में  डालने  का  काम  किया  है  लेकिन  कांग्रेस  फर्जी  मुकदमे  लगाने  के  बावजूद  गरीब  मजदूरों  की  सेवा  को  जारी  रखेगी ।,0.0,0.0,0.0
"उन्होंने  बताया  कि  जिस  प्रकार  लॉकडाउन  से  पहले  पूरी  क्षमता  के  साथ  बसों  का  संचालन  किया  जा  रहा  था , 20 अगस्त  2020 से  उसी  प्रकार  किया  जा  सकता  है ।",0.0,0.0,0.0
शाह  ने  पुलवामा  हमले  पर  पाकिस्तानी  प्रधानमंत्री  की  चुप्पी  पर  सवाल  उठाया ।,1.0000000000000132e-168,1.0000000000000132e-168,1.0000000000000132e-168
"गणितीय  विज्ञान  संस्थान  में  अनुसंधान  टीम  का  नेतृत्व  करने  वाले  सीताभ्र  सिन्हा  ने  कहा , एक  विश्वसनीय  अनुमान  पाने  के  लिए  भारत  के  उपचाराधीन  मरीजों  की  संपूर्ण  संख्या  में  काफी  उतार - चढ़ाव  हो  रहा  है , लेकिन  आंकड़े  एक  करीब  मान  वैल्यू) रहने  की  ओर  इशारा  कर  रहे  हैं .",0.0,0.0,0.0
इससे  अनुमान  लगाया  जा  सकता  है  कि  इस  बार  त्योहारी  सीजन  के  चलते  निगम  ने  लाखों  रुपए  कमाए  हैं ।,1.0000000000000199e-252,1.0000000000000199e-252,1.0000000000000199e-252
हालांकि  कई  इलाकों  में  पुलिस  की  गश्ती  गाड़ी  को  देखते  ही  दुकानदार  स्वयं  से  दुकानें  बंद  करने  लगे  थे ।,1.0000000000000199e-252,1.0000000000000199e-252,1.0000000000000199e-252
धमतरी ।,1.0000000000000028e-36,1.0000000000000028e-36,1.0000000000000028e-36
इलाज  के  दौरान  उनका  आज  निधन  हो  गया  है .,1.0000000000000105e-132,1.0000000000000105e-132,1.0000000000000105e-132
उनके  मुवक्किल  का  नाम  किसी  डिसक्लोजर  स्टेटमेंट  में  भी  नहीं  है  और  न  ही  किसी  सह  आरोपी  ने  अपने  बयान  में  उनका  नाम  लिया  है ।,0.0,0.0,0.0
"दो  साल  में  हुई  कम  बारिश  में  जब  शहर  के  अलग - अलग  हिस्सों  में  भूजल  गिरने  से  जलसंकट  पैदा  हुआ , तो  लोगों  को  पानी  की  कीमत  समझ  में  आई ।",0.0,0.0,0.0
उसके  बाद  उसे  फिर  से  वार्ड  में  भर्ती  कर  दिया  गया  है .,1.0000000000000132e-168,1.0000000000000132e-168,1.0000000000000132e-168
उनका  कहना  है  कि  वह  इस  बार  भी  जनता  की  उम्मीदों  पर  खड़े  उतरेंगे ।,1.000000000000015e-192,1.000000000000015e-192,1.000000000000015e-192
डीएम  ने  जांच  के  लिए  जिला  भूमि  संरक्षण  अधिकारी  को  नामित  करते  हुए  रिपोर्ट  मांगी  थी ।,1.0000000000000171e-216,1.0000000000000171e-216,1.0000000000000171e-216
अंतरिक्ष  यात्रा  के  साथ  आबाद  या  मानव  रहित  अंतरिक्ष  स्टेशन  भी  बारीकी  से  जुड़े  हैं ।,1.0000000000000161e-204,1.0000000000000161e-204,1.0000000000000161e-204
दो  महीने  के  अंदर  चाचा - भतीजे  की  हत्या  से  कई  सवाल  खड़े  हो  गए  हैं .,1.0000000000000171e-216,1.0000000000000171e-216,1.0000000000000171e-216
खर्चों  में  अप्रत्याशित  बढ़ोत्तरी  आपके  मन  की  शांति  को  भंग  करेगी ।,1.0000000000000123e-156,1.0000000000000123e-156,1.0000000000000123e-156
इसी  के  तहत  लोकसभा  में  विपक्ष  की  सबसे  बड़ी  पार्टी  कांग्रेस  ने  13 मार्च  को  ' डिनर  डिप्लोमेसी ' के  तहत  तमाम  दलों  के  मुखियाओं  को  रात  के  खाने  के  लिए  बुलाया  था .,0.0,0.0,0.0
"निवेश , कोई  भी  व्यक्ति  इस  व्यवसाय  को  शुरू  कर  सकता  है , यहां  तक  कि  घर - आधारित  मसाला  बनाने  का  व्यवसाय  लाभदायक  है ।",0.0,0.0,0.0
"संवाद  सहयोगी , रूपनगर  रयात  बाहरा  यूनिवर्सिटी  के  वाइस  चांसलर  डा .",1.0000000000000123e-156,1.0000000000000123e-156,1.0000000000000123e-156
उनके  पति  इंडियन  आर्मी  के  साथ  पोर्टर  का  काम  करते  थे ।,1.0000000000000123e-156,1.0000000000000123e-156,1.0000000000000123e-156
एक  घंटे  की  मशक्कत  के  बाद  दमकल  जवानों  ने  आग  पर  काबू  पाया ।,1.0000000000000141e-180,1.0000000000000141e-180,1.0000000000000141e-180
बता  दे  की  इन्होने  फिल्म  निर्माता  महेश  भट्ट  से  शादी  की  थी ।,1.0000000000000132e-168,1.0000000000000132e-168,1.0000000000000132e-168
"गुजरात  से  रिटायर  होने  वाले  चार  राज्यसभा  सदस्य  हैं - कनिभाई  गोहिल , मधुसूदन  मिस्त्री , महंत  शंभुप्रसाद  टुंडिया  और  लाल  सिंह  वड़ोदिया ।",1.0000000000000237e-300,1.0000000000000237e-300,1.0000000000000237e-300
जब  हमने  पूछा  कि  क्या  राष्ट्रीय  स्वयंसेवक  संघ  की  बैठक  की  वजह  से  यह  सुरक्षा  घेरा  बनाया  गया  है ?,1.0000000000000199e-252,1.0000000000000199e-252,1.0000000000000199e-252
शौकत  खानुम  मेमोरियल  कैंसर  हॉस्पिटल  एंड  रिसर्च  सेंटर  प्रोजेक्ट  के  लिए  धन  जुटाने  में  मदद  करने  और  अपना  समय  देने  के  लिए  उनकी  उदारता  को  कभी  नहीं  भूल  सकते .,0.0,0.0,0.0
"उद्योग  संगठन  ने  इस  बारे  में  उपभोक्ता  मामलों  के  मंत्री  पीयूष  गोयल  को  पत्र  लिखकर  कहा  है  कि  बीआईएस  ने  अपनी  वेबसाइट  पर  जो  एफएक्यू  जारी  किया  है , उसमें  काफी  पेंच  है  और  अस्पष्टता  है ।",0.0,0.0,0.0
इस  बदलते  मौसम  में  सावधान  रहने  की  जरूरत  है ।,1.0000000000000105e-132,1.0000000000000105e-132,1.0000000000000105e-132
छत्तीसगढ़  प्रगतिशील  यादव  महासंघ  के  अध्यक्ष  राममणि  यादव  ने  बताया  कि  रामप्रसाद  यादव  रायपुर  अखबार  जगत  के  सच्चे  प्रहरी  थे ।,1.000000000000021e-264,1.000000000000021e-264,1.000000000000021e-264
"आज  तक  संक्रमित  रोगियों  की  संख्या  1 , 82 , 552 तक  पहुंच  गई  है ।",1.0000000000000161e-204,1.0000000000000161e-204,1.0000000000000161e-204
"देर  रात  होने  पर  उसने  मां  को  फोन  किया , लेकिन  उसने  कॉल  नहीं  उठाई ।",1.0000000000000161e-204,1.0000000000000161e-204,1.0000000000000161e-204
एक  सरकारी  अधिकारी  ने  कहा  कि  संबंधित  जिलों  के  अधिकारियों  को  स्थिति  पर  नजर  रखने  और  आपात  स्थिति  से  निपटने  के  लिए  कार्य  योजना  तैयार  करने  को  कहा  गया  है ।,0.0,0.0,0.0
with Indian CRPF . . A,1.0000000000000067e-84,1.0000000000000067e-84,1.0000000000000067e-84
मुझे  पता  होता  तो  मैं  पुलिसवालों  की  हत्या  नहीं  होने  देती ।,1.0000000000000123e-156,1.0000000000000123e-156,1.0000000000000123e-156
खानपान  की  सभी  चीजों  पर  इन  दिनों  काफी  महंगाई  है ।,1.0000000000000113e-144,1.0000000000000113e-144,1.0000000000000113e-144
वहां  उसने  आलू  की  टिक्की  का  खोमचा  सजा  लिया .,1.0000000000000105e-132,1.0000000000000105e-132,1.0000000000000105e-132
पाकिस्तान  के  सभी  ऐतिहासिक  गुरुद्वारा  साहिबान  में  श्री  गुरु  नानक  देव  के  550 वें  प्रकाश  पर्व  के  कार्यक्रम  के  आयोजनों  की  रूपरेखा  तय  करने  के  लिए  पाकिस्तान  सिख  गुरुद्वारा  प्रबंधक  कमेटी  के  अध्यक्ष  जसवंत  सिंह  की  अगुवाई  में  एक  बैठक  का  आयोजन  किया  गया ।,0.0,0.0,0.0
उन्हें  पहले  अपना  घर  ठीक  करना  चाहिए .,1.0000000000000085e-108,1.0000000000000085e-108,1.0000000000000085e-108
उल्लेखनीय  है  कि  ग्रामीणों  की  आपत्ति  के  बावजूद  वन  अधिकारियों  ने  सोमवार  को  बोलेपल्ली  के  पास  जमीन  के  एक  टुकड़े  में  पौधे  रोपे ।,1.0000000000000237e-300,1.0000000000000237e-300,1.0000000000000237e-300
मुख्यालय  अब  ऑनलाइन  ही  यह  तय  करेगा  कि  छात्र - शिक्षक  अनुपात  में  किस  स्कूल  में  शिक्षक  कम  हैं  या  कहां  पद  बढ़ाना  होगा ।,1e-312,1e-312,1e-312
लोक  उत्सव  के  रूप  में  मनाए  जाने  वाले  मैसूरु  दशहरा  महोत्सव  का  इस  साल  भी  विराट  आयोजन  नहीं  होगा ।,1.0000000000000199e-252,1.0000000000000199e-252,1.0000000000000199e-252
कफील  खान  पर  भड़काऊ  भाषण  देने  के  आरोप  में  मामला  दर्ज  किया  गया  था .,1.000000000000015e-192,1.000000000000015e-192,1.000000000000015e-192
"इंदौर  समाचार  डेस्क: मध्य  प्रदेश  के  इंदौर  और  धार  जिले  के  औद्योगिक  क्षेत्र  पीथमपुर  से  मंगलवार  को  236 किलोग्राम  ड्रग , एफ्रेडीन  बरामद  की  गई .",0.0,0.0,0.0
दूरसंचार  मंत्री  रवि  शंकर  प्रसाद  ने  आज  कहा  कि  देश  में  टेलीफोन  कनेक्शनों  की  संख्या  एक  अरब  के  आंकड़ें  को  पार  कर  गयी  है  जिसमें  मोबाइल  फोन  कनेक्शन  करीब  97.8 करोड़  है ।,0.0,0.0,0.0
"इसके  साथ  ही  सहायक  सम्भागीय  परिवहन  अधिकारी  को  निर्देश  दिए  कि  यातायात  के  नियमों  में  ध्यान  रखे  जाने  वाली  बातों  की  एक  चैक  लिस्ट  सभी  टैक्सी  यूनियन , कार्यालय  व  विद्यालयों  को  भेजी  जाए  ताकि  सड़क  दुर्घटनाएं  कम  हो  सके ।",0.0,0.0,0.0
अब  दीपक  चौरसिया  के  चेहरे  पर  हवाइयां  उड़  रही  थीं ।,1.0000000000000113e-144,1.0000000000000113e-144,1.0000000000000113e-144
कार्यक्रम  को  सम्बोधित  करते  हुए  राजभर  ने  कहा  कि  शासन  की  मंशा  है  कि  प्रदेश  का  हर  बच्चा  स्कूल  जाये  और  कोई  भी  बच्चा  शिक्षा  से  वंचित  न  रहे ।,0.0,0.0,0.0
प्रशासनिक  अधिकारी  आवास  से  बाहर  नहीं  निकले ।,1.0000000000000085e-108,1.0000000000000085e-108,1.0000000000000085e-108
ov . i,1.0000000000000038e-48,1.0000000000000038e-48,1.0000000000000038e-48
"खट्टर  ने  कहा , यह  कड़वी  सच्चाई  है .",1.0000000000000094e-120,1.0000000000000094e-120,1.0000000000000094e-120
जब  उन्हें  पता  चला  कि  24 घंटे  बाद  भी  पुलिस  मामला  दर्ज  नहीं  कर  रही  है  तो  वे  भी  हैरान  हो  गए .,1.0000000000000227e-288,1.0000000000000227e-288,1.0000000000000227e-288
इस  दौरान  माधोपाली  के  अन्य  किसान  तथा  आसपास  गांव  के  किसान  सम्मिलित  हुए ।,1.0000000000000141e-180,1.0000000000000141e-180,1.0000000000000141e-180
मुजफ्फरपुर  स्मार्ट  सिटी  के  पीडीएमसी  एजेंसी  श्रेया  ने  उसके  कामकाज  पर  विभाग  की  कड़ी  आपत्ति  के  बाद  अपने  टीम  लीडर  सुशील  भारद्वाज  को  हटाया  दिया  गया ।,0.0,0.0,0.0
डीसीएम  में  सवार  सभी  श्रमिकों  को  उतारकर  रोडवेज  बस  से  अमृतपुर  क्वारंटीन  सेंटर  भेजा  गया .,1.0000000000000161e-204,1.0000000000000161e-204,1.0000000000000161e-204
वहां  किशोरी  ने  समिति  के  अधिकारियों  को  घटना  के  बारे  में  बताया ।,1.0000000000000132e-168,1.0000000000000132e-168,1.0000000000000132e-168
"न्यूज़  ऑर  सबसे  लंबे  समय  तक  चलने  वाला  समाचार  विश्लेषण  है , इतना  लम्बा  समाचार  विश्लेषण  किसी  भी  और  चैनल  में  नहीं  दिखाया  जाता  था  १९९८ - २००३ ।",0.0,0.0,0.0
पिछली  वर्ष  भारत  117 देश  की  इस  लिस्ट  में  102 वें  स्थान  पर  मौजूद  था .,1.0000000000000161e-204,1.0000000000000161e-204,1.0000000000000161e-204
वह  अपनी  रेंज  में  रहकर  काम  करते  हैं  और  अरसे  बाद  ठीक  लगते  हैं ।,1.000000000000015e-192,1.000000000000015e-192,1.000000000000015e-192
स) ता .,1.0000000000000038e-48,1.0000000000000038e-48,1.0000000000000038e-48
पर  इस  साल  फरवरी  आते - आते  देश  में  जांचे  इतनी  घट  गईं  कि  हर  दिन  छह  से  आठ  लाख  नमूनों  की  ही  जांच  हो  रही  है ।,0.0,0.0,0.0
वर्ष  2018 - 19 तथा  2019 - 20 में  भारत  को  यूनाइटेड  किंगडम  से  क्रमश: 9.4 अरब  डॉलर  और  10 अरब  डॉलर  की  राशि  बतौर  प्रत्यक्ष  विदेशी  निवेश  हासिल  हुई ।,0.0,0.0,0.0
कांग्रेस  नेता  राहुल  गांधी  ने  प्रधानमंत्री  नरेंद्र  मोदी  को  चुनौती  देते  हुए  कहा  कि  वे  किसी  भी  यूनिवर्सिटी  में  जाकर  युवाओं  के  सवालों  के  जवाब  दे  दें .,0.0,0.0,0.0
पता  चला  कि  वादिनी  या  उसके  परिवार  के  किसी  भी  सदस्य  ने  कोई  हलफनामा  नहीं  दिया ।,1.0000000000000171e-216,1.0000000000000171e-216,1.0000000000000171e-216
शिक्षक  दिवस  पर  प्रयागराज  के  कुछ  विद्यालयों  के  उत्कृष्ट  सेवाएं  देने  वाले  शिक्षकों  को  रोटरी  प्लैटिनम  ने  सम्मानित  किया ।,1.0000000000000199e-252,1.0000000000000199e-252,1.0000000000000199e-252
"बहरहाल , वर्ल्ड  कप  सेमीफाइनल  में  भारत  की  हार  के  बाद  सूरज  तो  हर  दिन  निकलता  रहेगा  लेकिन  कोहली , धोनी  और  शास्त्री  की  तिकड़ी  अगले  आईसीसी  इवेंट  में  एक  साथ  ड्रेसिंग  रूम  में  नजर  नहीं  आएगी - अगला  आईसीसी  वर्ल्ड  टी - 20 अगले  साल  अक्टूबर - नवंबर  में  ऑस्ट्रेलिया  में  होना  है .",0.0,0.0,0.0
इसी  रकम  में  भव्य  समापन  समारोह  के  साथ  सभी  जोन  के  प्रतिभागियों  को  पुरस्कृत  करने  के  साथ  प्रशस्ति  पत्र  भी  देना  होता  है ।,1.0000000000000237e-300,1.0000000000000237e-300,1.0000000000000237e-300
बरेली .,1.0000000000000028e-36,1.0000000000000028e-36,1.0000000000000028e-36
लखनऊ  व्यापार  मंडल  के  वरिष्ठ  महामंत्री  अमरनाथ  मिश्रा  ने  बताया  कि  शुक्रवार  से  75 फीसदी  बाजारों  में  दोनों  तरफ  की  दुकानें  खुल  जाएंगी ।,1.0000000000000237e-300,1.0000000000000237e-300,1.0000000000000237e-300
यह  घटना  साल  2014 की  है  जब  उनकी  बीएमडब्ल्यू  कार  का  नवी  मुंबई  के  खारघर  इलाके  में  एक्सीडेंट  हो  गया ।,1.000000000000021e-264,1.000000000000021e-264,1.000000000000021e-264
इसी  प्रकार  जायोनी  सैनिकों  ने  राहतकर्मी  दल  को  भी  उस  क्षेत्र  में  जाने  की  अनुमति  नहीं  दी  और  अंततः  यह  बच्ची  गम्भीर  रूप  से  घायल  होने  के  कारण  शहीद  हो  गयी ।,0.0,0.0,0.0
3 .,1.0000000000000028e-36,1.0000000000000028e-36,1.0000000000000028e-36
"इसके  अंतर्गत  बूथ , मंडल , जिले  और  प्रदेश  स्तर  पर  सम्मेलन  आयोजित  किए  जाएंगे ।",1.0000000000000161e-204,1.0000000000000161e-204,1.0000000000000161e-204
इसके  बाद  स्टीव  ओ  कीफ  ने  उमेश  यादव  04 को  आउट  कर  भारतीय  पारी  को  समेट  दिया ।,1.000000000000018e-228,1.000000000000018e-228,1.000000000000018e-228
इसके  बाद  राष्ट्रीय  स्वयंसेव  संघ  की  भिवंडी  इकाई  के  सचिव  ने  राहुल  गांधी  पर  आरोप  लगाया  था  कि  उन्होंने  सोनाले  में  6 मार्च  2014 को  एक  रैली  में  कहा  था  कि  राष्ट्रीय  स्वयंसेवक  संघ  ने  गांधी  जी  की  हत्या  की ।,0.0,0.0,0.0
"देश  में  अबतक  कोरोनावायकस  के  126 पॉजिटिव  मामले  दर्ज  हुए  हैं , जबकि  3 की  मौत  हुई  है ।",1.000000000000019e-240,1.000000000000019e-240,1.000000000000019e-240
स्कैंडिनेवियाई  देशो  में  यह  इस  साल  भी  अपनी  टॉप  1 में  जगह  पाने  में  सफल  रहा ।,1.0000000000000171e-216,1.0000000000000171e-216,1.0000000000000171e-216
"कंपनी  न्यूट्रीशन  की  लागत  बढ़ाने  के  लिए  जो  न्यूट्रीशन  गाज़ियाबाद  में  तैयार  होता  है  उसे  सोनभद्र  भेजा  जाता  है , जो  महराजगंज  में  तैयार  होता  है  उसे  गाज़ियाबाद  भेजा  जाता  है .",0.0,0.0,0.0
"मां  को  तुरंत  अस्पताल  ले  गया , लेकिन  उनकी  मौत  हो  गई ।",1.0000000000000132e-168,1.0000000000000132e-168,1.0000000000000132e-168
वहां  मौजूद  लोगों  ने  आजादी  के  हक  में  नारे  बुलंद  किए ।,1.0000000000000123e-156,1.0000000000000123e-156,1.0000000000000123e-156
बेगूसराय  में  बेगूसराय  पुलिस  को  गुप्त  सूचना  एवं  मोबाइल  सर्विलांस  के  आधार  पर  एक  बड़ी  सफलता  हाथ  लगी  है ।,1.0000000000000199e-252,1.0000000000000199e-252,1.0000000000000199e-252
"पुराने  भवन  की  लाइन  पुरानी  है , इसे  बदलने  के  लिए  प्रयास  जारी  हैं ।",1.000000000000015e-192,1.000000000000015e-192,1.000000000000015e-192
